PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
726	Unknown	2102	11.46137	11.67165	12.11435	163.0754	21323.283203125	345353.34375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	146.9782	163.07542:20831 163.18896:439 164.07924:2654 164.91441:250 164.99796:277 165.05194:482 165.08087:565 166.05307:221 167.07028:344 167.15245:376	
727	Unknown	2102	11.48352	11.67165	11.69932	164.0782	2399.90893554688	16784.478515625	null	[M+H]+	M + 1	isotope of 726	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	33.14067	164.07924:2654 164.91441:250 164.99796:277 165.05194:482 165.08087:565 166.05307:221 167.07028:344 167.15245:376 168.11751:314	
728	Unknown	2102	11.47797	11.67165	12.11435	401.2075	100296.1875	1540461.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	760.063	401.20749:101133 402.21033:21802 402.46341:308 403.21878:4351 404.2189:760 404.28433:465 405.27554:652	
729	Unknown	2103	11.47797	11.67718	11.97047	343.1548	26606.65625	401725.53125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	189.6141	342.96152:244 343.15485:27488 343.3688:514 343.42996:284 344.15915:5652 344.28647:1078 344.42535:224 344.98688:234 345.18423:1233 345.25073:944 345.98395:216 346.26898:338 347.26804:870	
730	Unknown	2104	11.48905	11.68272	11.80447	105.0357	3463.69287109375	38769.85546875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	12.71213	104.99208:2671 105.03573:3266 105.10609:213 106.04437:312 106.0696:231 107.07072:1186 109.1023:235	
731	Unknown	2105	11.47797	11.68825	12.01473	360.181	13705.8017578125	212903.09375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	129.5716	360.18097:13935 360.40961:255 360.97073:312 361.19019:3595 362.19104:504 362.32181:642 363.26282:892 364.33954:2727 365.13687:6488	
732	Unknown	2105	11.56098	11.68825	11.75465	361.1902	3353.13696289063	28836.623046875	null	[M+H]+	M + 1	isotope of 731	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.72267	360.97073:312 361.19019:3595 362.19104:504 362.32181:642 363.26282:892 364.33954:2727 365.13687:6488 365.27585:2240 365.34409:1087 366.1391:1609	
733	Unknown	2107	11.61078	11.69932	11.7934	414.3316	5114.86767578125	43895.84375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	26.60717	414.33163:5047 415.30347:2289 416.2814:1046 416.34686:650 417.31314:1372 418.24405:416 418.32233:448 418.97491:200 419.24289:600 419.30945:456	
734	Unknown	2131	11.58312	11.83213	11.88193	600.432	9100.38671875	75358.421875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	126.489	600.43201:9496 601.43567:3201 602.4342:763 603.42114:422 605.38629:895	
735	Unknown	2140	11.7602	11.88193	11.98153	337.213	13350.359375	109910.5390625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	91.43256	336.98688:215 337.21255:12939 338.21747:2955 338.9711:318 339.24991:822 340.25641:595 341.27289:1408	
