,m/z,rt,peak area
74,199.1847,7.17,7017685.301025391
75,199.1847,7.36,7697752.115071614
76,199.1847,7.48,7825796.940429687
77,200.0231,0.62,2969725.0588378906
78,200.0231,0.86,3147700.832519531
79,200.0231,1.02,128881.50927734375
80,200.0231,21.05,574313.0088704426
81,200.0231,21.19,772885.2622884114
82,200.1831,7.16,838733.5336914062
83,200.1831,7.28,880223.7784830729
84,200.2392,4.64,5739126.189127604
85,201.0257,0.62,117904.91841634114
86,201.0739,0.66,190801.99104817706
87,201.2429,4.64,738701.3900960286
88,202.2192,4.14,331386.0769042969
89,202.2192,5.45,490582.50146484375
90,202.2192,5.57,597891.1458333334
91,205.0866,11.93,333845.66227213544
92,205.0866,12.05,1965306.6663004556
93,205.0866,12.22,1732882.2975260415
94,205.0866,12.35,1965306.6663004556
95,206.0898,12.12,100681.16959635417
96,212.1199,4.28,423342.8959960938
97,214.2517,4.73,56433210.69596354
98,214.3802,4.73,3470389.8642578125
99,215.2567,4.73,8867643.868977863
100,216.0503,5.92,1098157.8138020833
101,216.0503,6.08,1120578.301147461
102,216.1972,4.15,163944.2508138021
103,216.2578,4.73,594779.5384114583
104,217.1072,4.59,2505793.0439453125
105,217.1072,4.73,2563119.931274414
106,217.1245,8.85,178232.1358235677
107,218.0383,0.62,805574.7995605469
108,218.0383,0.79,894265.6253255208
109,218.0383,21.05,133971.4163411458
110,218.1081,4.59,234516.89139811194
111,219.0173,0.61,171655.2150065104
112,219.0173,0.75,112044.61100260416
113,221.1211,8.23,261113.12418619794
114,221.1211,8.62,129296.97505696614
115,221.13,7.0,1230407.6700439453
116,221.1565,7.16,168083.11100260413
117,223.1291,7.0,343730.42687988275
118,225.1463,8.26,272567.4973958333
119,225.1463,8.38,360141.5455729167
120,226.121,8.3,425436.0240885417
121,226.1662,7.93,122284.5928141276
122,226.1934,4.67,156382.10904947916
123,228.0466,8.42,533325.184407552
124,228.0466,8.56,577801.9433593749
125,228.1926,8.21,668931.206705729
126,228.1926,8.33,813770.2138671875
127,228.1926,16.11,233207.2288411458
128,228.1926,16.3,207061.0222981771
129,228.2656,4.96,29146916.541544594
130,228.4026,4.96,1475830.0143229165
131,229.1897,7.91,23971568.092285156
132,229.1897,8.13,26640003.799641922
133,229.1897,8.36,26722263.91471354
134,229.2722,4.96,4825954.2587890625
135,229.3181,7.91,981301.3889973958
136,230.0622,6.14,1417346.564127604
137,230.0622,6.25,1473120.355143229
138,230.1911,7.9,2741690.0013834634
139,230.1911,8.04,2816600.762613932
140,230.1911,8.16,3146732.4345703125
141,230.2464,4.68,582015.3811848958
142,230.2464,11.28,117053.39245605469
143,230.274,4.96,326496.56136067706
144,231.0675,6.13,165083.8147786458
145,231.1877,7.87,115667.65197753903
146,234.1377,4.59,1685176.3986002603
147,234.1377,4.72,1711636.921875
148,234.1939,4.65,379188.50032552076
149,235.1702,11.03,274874.69026692706
150,236.1127,4.65,434851.7279459635
151,236.1127,4.77,480588.3487955729
152,239.0874,4.59,179213.91170247394
153,239.1256,7.07,626135.9659830729
154,239.1256,7.19,599878.3567708334
155,239.2404,15.58,1025504.7526041665
156,239.2404,15.7,1319712.4357910154
157,240.0168,0.65,305017.9025065104
158,240.2377,15.58,136104.25065104166
159,240.2666,5.12,532314.0403645834
160,240.9884,0.62,566821.9677734376
161,242.2836,5.25,81289801.89160156
162,242.2836,5.41,429274484.828125
163,242.4193,5.25,57113546.94010416
164,243.2838,5.36,89826252.16666666
165,243.2838,5.53,21152090.270833332
166,243.4298,5.34,10339814.659505207
