,m/z,rt,peak area
118,174.1148,3.76,316991.54475911456
119,175.0575,10.24,148395.52034505206
120,177.1283,8.24,263969.1425374349
121,178.123,9.65,151134.72835286456
122,179.0659,4.87,554942.1827799479
123,179.1089,7.9,104127.75455729167
124,179.1447,12.85,354217.2970377604
125,180.1363,10.02,2097640.3650716143
126,180.1579,5.33,250828.27262369788
127,180.9886,7.87,105759.677734375
128,180.9886,21.23,461714.92382812494
129,180.9886,21.39,390269.8870442708
130,180.9886,21.58,291567.0547688802
131,180.9886,21.74,303051.2275390625
132,180.9958,7.87,105759.677734375
133,180.9958,21.23,461714.92382812494
134,180.9958,21.39,390269.8870442708
135,180.9958,21.58,291567.0547688802
136,180.9958,21.74,303051.2275390625
137,182.1214,10.28,8111052.414062499
138,182.238,10.3,1334334.9908854165
139,182.9831,10.3,1334334.9908854165
140,183.1002,3.4,1674624.758300781
141,183.1002,4.6,260565.0089518229
142,183.1002,11.05,265816.87581380206
143,183.1222,10.27,2563360.7386067705
144,183.1735,10.63,2948473.413004557
145,183.1735,11.14,2277063.546549479
146,183.9885,10.63,2948473.413004557
147,183.9885,11.14,2277063.546549479
148,184.1211,10.24,200511.68994140625
149,184.18,10.76,341829.54394531256
150,184.18,11.12,263550.89453125
151,185.118,5.24,290499.1586914062
152,185.155,9.94,168985.89306640625
153,186.1501,5.22,184788.1531982422
154,186.9784,19.16,118565.30859374999
155,186.9784,19.41,116309.74593098958
156,186.9784,19.57,149977.0967203776
157,186.9784,19.73,132197.7425130208
158,186.9784,19.85,140056.9554036458
159,186.9859,0.65,168479.1028645833
160,186.9859,21.02,700006.001953125
161,186.9859,21.13,1048574.8168945311
162,186.9859,21.26,1129170.7626139321
163,186.9934,0.85,395388.2503255208
164,187.128,5.97,805387.8407796224
165,188.1262,4.54,979839.0118815103
166,192.1416,9.7,256346.07340494788
167,193.1433,4.14,678166.8902994792
168,193.1433,4.28,672670.5075276692
169,193.1433,4.42,678166.8902994792
170,193.1588,11.65,110294.91048177083
171,195.1234,2.18,443726.194173177
172,195.1234,2.95,248185.74186197913
173,197.0844,11.0,287159.2703450521
174,197.1002,8.89,167973.3302815755
