,m/z,rt,peak area
232,283.2769,15.68,203854.11604817706
233,284.1848,8.3,154320.37109375
234,284.2985,16.19,1114264.821940104
235,284.2985,16.36,1342270.4556477861
236,284.2985,16.48,1461546.4803873696
237,285.1755,13.54,265695.46142578125
238,286.2497,8.09,1311905.6796875
239,286.2497,8.24,1004114.2153727213
240,286.2497,8.36,1137570.69543457
241,286.2497,8.47,1311905.6796875
242,288.1221,6.14,4780603.675252279
243,288.1221,6.29,5054147.691935221
244,288.1221,6.41,5221173.633951823
245,288.2951,4.72,613414.3248291016
246,289.1728,9.85,216039.23681640622
247,290.1809,9.85,5997398.492838542
248,290.1809,10.01,6219829.848876953
249,290.1809,10.13,6897823.071004231
250,290.1809,10.24,6888859.073893229
251,290.1809,10.36,6950350.231363932
252,291.1808,9.84,783327.7309977213
253,291.1808,9.97,1039174.6711832682
254,291.1924,11.1,307059.6422526041
255,291.239,9.75,120268.21223958331
256,292.1725,9.85,1509737.4837239583
257,292.2426,4.96,169111.8465169271
258,293.1792,9.82,296699.76448567706
259,293.1792,9.94,304332.4542643229
260,294.213,10.58,1070671.892252604
261,294.213,10.7,269997.3024088541
262,294.213,10.84,325462.1394042969
263,295.156,6.49,143444.90999348956
264,295.215,10.58,195663.5323486328
265,296.2323,12.26,155062.56917317706
266,297.2293,11.05,674551.7945963541
267,297.2293,11.17,898535.1035156249
268,297.2293,11.3,1034551.9076334634
269,297.9912,0.62,451128.0677897135
270,297.9912,0.73,573780.3779296874
271,298.349,8.36,403484.5227864583
272,299.1855,13.51,233665.5594889323
273,299.2573,13.85,740807.3590494791
274,299.2573,13.97,1202399.7928059893
275,299.2573,14.09,1425067.021158854
276,299.2573,14.21,1446537.0849609373
277,299.2573,14.36,139275.26871744794
278,300.0244,0.66,806989.4892578124
279,300.2044,3.71,479233.35493977857
280,300.2044,3.86,485737.94433593744
281,301.0221,0.61,198300.54573567706
282,301.1425,11.93,160507.9007161458
283,301.1425,12.13,391065.98067220044
284,301.1425,12.26,428443.30082194007
285,301.1787,11.06,180975.79825846353
286,301.2148,16.06,128284.52180989583
287,301.2871,11.11,150166.6092122396
288,302.2407,7.86,495624.21476236975
289,302.2407,7.98,703786.6665852865
290,302.3011,12.01,351604.8950195312
291,302.3011,12.13,420938.7451171875
292,303.1851,13.51,158100.9462890625
293,303.2579,14.39,510003.365234375
294,304.3028,11.16,116544.08300781249
295,305.2171,6.41,1561756.45320638
296,305.2171,6.55,1710340.5332031248
297,305.2171,6.67,1770406.726236979
298,305.2659,13.89,414332.2728678385
299,306.2198,6.39,259235.81933593747
300,308.0627,7.48,177065.97037760416
301,308.2969,15.83,566785.6819254558
302,308.2969,15.94,778465.9807942709
303,309.2108,10.67,698988.3629557291
304,309.2108,10.79,784876.3854166665
305,309.2231,6.12,315179.80700683594
306,310.2142,10.66,108238.34318033853
307,310.239,12.86,384115.0862223307
308,310.239,12.98,472604.49918619794
309,310.3135,16.45,419312.318359375
310,310.3135,16.57,584439.7096354166
311,311.1836,8.87,230430.96044921875
312,312.3308,17.08,876982.9319661456
313,312.3308,17.26,1051915.3200683594
314,313.1439,12.04,316498.7259114583
315,313.2692,15.38,1360177.3619791665
316,313.2692,15.51,3043228.12890625
317,313.2692,15.68,904162.6256510416
318,313.2692,15.81,1318483.3747558594
319,313.3318,17.08,164811.53287760416
320,314.2732,15.59,664778.5572916666
321,314.2732,15.72,845893.6884765625
322,315.1292,9.75,240941.8331705729
323,315.1796,5.69,145080.380086263
324,316.0001,0.61,1318890.765625
325,316.0001,0.78,1352410.0302734375
326,316.0001,21.07,100227.70458984375
327,316.1392,4.19,689151.5859375
328,317.1144,4.91,1035592.8365885415
329,318.2708,8.09,3013241.098307291
330,318.2708,8.23,2164549.9001464844
331,318.2708,8.35,2622961.45336914
332,318.2708,8.47,2988143.444335937
333,318.2708,8.6,3013241.098307291
