,m/z,rt,peak area
119,200.1832,7.16,619046.178507487
120,200.1832,7.28,930133.459798177
121,200.2393,4.64,4055362.979166666
122,200.2393,4.79,4175923.049804687
123,201.1705,5.92,244983.9269205729
124,201.1947,8.2,169005.77799479166
125,201.243,4.65,525760.224609375
126,202.1465,4.28,101798.3390299479
127,202.1546,3.97,122504.82096354166
128,202.2193,4.13,272171.4580078125
129,202.2193,5.44,709721.5973307291
130,202.2193,5.56,820070.4255371093
131,203.111,6.11,103218.96915690103
132,204.1046,4.6,156972.07958984375
133,204.1373,7.14,188405.43131510416
134,205.0866,11.92,1315101.8061930337
135,205.0866,12.05,1355959.064941406
136,205.0866,12.25,1315101.8061930337
137,205.0866,12.38,1355959.064941406
138,205.1687,5.18,5842320.368611653
139,206.1723,5.17,834988.5771891277
140,206.1723,5.29,840767.5958658854
141,207.098,5.78,261089.0794270833
142,207.098,6.77,3381139.1503906245
143,207.098,6.93,3737394.917399088
144,207.098,7.05,4361598.8063151045
145,207.1395,5.86,136977.89351399738
146,207.1478,4.72,2279836.8332112627
147,207.1478,4.87,3290685.916992187
148,207.1478,4.99,3346663.322998047
149,207.156,5.2,186549.9786783854
150,207.156,5.68,238628.70646158853
151,208.1028,6.76,277406.6313069662
152,208.1528,4.72,301750.315266927
153,208.1528,4.84,118111.10717773435
154,209.1124,8.55,239512.2784016927
155,209.1124,8.67,107105.80061848958
156,209.1208,4.9,121379.96171061198
157,209.1375,3.71,269700.6993408203
158,209.2045,5.24,684992.4886067708
159,210.1018,5.17,636263.5264485676
160,210.127,8.54,407831.2426350911
161,210.1774,4.35,189973.45166015622
162,210.1858,4.27,558563.8232421875
163,210.1858,10.55,1524166.0365804036
164,210.1858,10.67,1765256.6918945312
165,210.1858,10.79,1825670.5636393228
166,211.1296,4.05,333220.8327636719
167,211.1296,5.2,185750.47627766925
168,211.1718,10.06,150309.15714518228
169,211.1802,7.38,123587.04427083331
170,211.1887,10.54,200639.71158854166
171,212.1199,4.28,14598159.752522789
172,212.1369,3.65,391749.02779134107
173,213.1064,6.11,480736.4264729817
174,213.1064,6.23,566629.2899983723
175,213.1064,6.87,291641.74137369794
176,213.1235,4.28,2256498.2800699864
177,213.1235,4.43,2285766.7073567705
178,213.1576,5.47,344476.2690022786
179,213.1576,5.59,454563.55680338544
180,214.089,6.66,1065468.5561523438
181,214.089,6.78,1076902.7329101562
182,214.1832,7.84,138192.85725911456
183,214.2517,4.72,41505220.04361979
184,214.3803,4.73,1911035.114583333
185,214.9986,7.66,162875.0185546875
186,215.0072,7.66,162875.0185546875
187,215.1276,4.36,141735.7010498047
188,215.2568,4.72,6302268.591145833
189,215.2568,4.93,6332673.262369791
190,216.0503,5.92,607685.1788736979
191,216.1368,4.76,752329.0358072917
192,216.1627,6.27,176592.1534830729
193,216.1973,4.16,149749.61214192706
194,216.2579,4.72,448984.39489746094
195,217.0464,0.88,430606.8166097005
196,217.0464,1.17,283613.01416015625
197,217.0464,21.06,368548.1241861979
198,217.0464,21.17,515319.7189941406
199,217.1072,4.59,2377828.9330240884
200,217.1072,4.72,2389333.763346354
201,217.1246,8.86,182881.0380859375
202,218.0384,21.05,113248.07828776042
203,218.1693,5.04,308353.72664388013
204,219.1489,7.63,3472329.3968098965
205,219.1489,7.84,3783159.1497395835
206,219.1489,7.96,3808571.043457031
207,219.1839,5.14,920281.0618489584
208,219.1839,9.64,245803.02958170572
209,220.0536,6.19,128326.82869466144
210,220.1504,7.63,398327.63850911456
211,221.1212,8.22,248345.45951334637
