,m/z,rt,peak area
339,333.2534,11.05,348999.34277343744
340,333.2534,11.18,398567.38370768225
341,334.2279,10.37,3536607.6575520835
342,334.2279,10.53,3733388.8483072915
343,334.2279,10.64,4293290.922688802
344,334.2279,10.82,4299379.3225911455
345,334.3081,17.07,222967.85026041666
346,335.232,10.37,356960.6848958333
347,335.232,10.49,775472.3712565106
348,335.2455,8.38,6106345.257486979
349,335.2455,8.53,6911441.738932291
350,335.2455,8.65,6993397.456054687
351,335.2455,8.79,6962959.779663086
352,335.2723,11.39,210004.4346516927
353,336.2527,8.37,1207334.6943359375
354,337.209,11.93,544052.1020507812
355,337.209,12.12,656520.5029296875
356,337.2225,12.41,104122.99361165363
357,337.2494,8.36,126556.53112792969
358,338.2221,12.12,101744.69490559897
359,338.2492,7.09,149536.10026041663
360,338.3168,14.84,232290.65270996094
361,338.3439,17.22,4122707.135335286
362,338.3439,17.38,4985250.280924478
363,338.3439,17.57,5307453.681722005
364,338.3439,17.68,5496155.170694986
365,339.184,8.88,206215.64208984372
366,339.3468,17.22,859839.9755859373
367,339.3468,17.35,1152494.4820963542
368,340.2303,4.97,253019.456258138
369,341.2115,4.53,661027.5
370,341.2388,8.54,11410458.779459635
371,341.2388,8.79,13870900.882486977
372,341.2388,10.58,294664.066813151
373,341.3071,16.53,166506.2215576172
374,342.2367,8.54,2321744.003255208
375,342.2367,8.74,2810857.2568359375
376,342.2367,8.87,3098364.6525065107
377,342.2367,9.0,3135706.41772461
378,342.2504,5.22,152473.0540364583
379,342.3462,16.19,1586115.7991536458
380,342.3462,16.32,1705361.0682373047
381,342.3462,16.44,1856293.7784830728
382,343.1551,11.68,154906.76098632812
383,343.1825,6.11,175176.9954427083
384,343.1963,8.63,270417.8515625
385,343.21,5.1,195939.91031901044
386,343.2237,4.88,130518.50081380208
387,343.2375,8.53,134651.8411458333
388,343.3473,16.19,273066.77673339844
389,344.2274,4.02,540474.5592447917
390,344.2274,4.14,597971.0013020833
391,345.1925,5.77,2887694.0374755855
392,345.1925,5.89,3367052.791829427
393,345.1925,6.12,3368287.6851399736
394,345.1925,6.27,323086.51721191406
395,345.2202,7.44,244952.39892578122
396,346.1881,5.77,423812.9483642578
397,347.1866,11.79,413246.5315755208
398,347.2004,5.69,1679463.022338867
399,347.2004,5.81,1848808.8618164058
400,347.2004,5.93,1854997.264485677
401,347.3671,6.19,332856.7862955729
402,348.2018,5.69,229559.83935546872
403,348.2297,9.82,258902.51204427084
404,348.3132,15.6,2156662.9921875
405,348.3132,15.72,2523636.7910156245
406,348.3132,15.85,2881082.024414062
407,349.3178,15.59,438401.63134765625
408,351.2373,7.8,126990.93880208333
409,353.2662,15.6,2988774.948038737
410,353.2662,15.72,3309749.5305989585
411,353.2662,15.85,3832070.8053385415
412,353.2662,15.98,3855939.8849283853
413,354.2284,10.26,233269.6650390625
414,354.2709,15.6,578367.7083333334
415,354.2709,15.72,631938.7830403645
416,354.2851,10.89,1206729.6114095054
417,354.2851,11.01,1422072.0626627603
418,354.2851,11.14,1437019.1018473306
419,355.25,11.86,676335.2054036459
420,355.2784,10.95,133788.78401692706
421,355.2784,13.5,211766.2529296875
422,355.2784,13.67,672049.787923177
423,355.2784,15.59,128476.39481608072
424,355.2926,10.89,220220.4700520833
425,356.2603,11.95,110280.23811848958
426,356.2746,5.88,130577.61702473956
427,357.2021,4.52,102385.84423828125
428,358.2323,7.18,164011.4121907552
429,359.208,6.76,43728720.3137207
430,359.208,7.0,55283061.6578776
431,359.323,16.53,1452471.6848958333
432,359.3661,6.76,1942011.917643229
433,360.316,16.52,358191.67854817706
434,360.3304,17.28,162685.11995442706
435,360.3304,17.41,230952.4620768229
436,361.2107,6.73,1064023.3268229165
437,361.2107,6.88,1158665.810221354
438,361.2107,7.19,140103.2421875
439,362.2235,6.02,400757.5563964844
440,362.2235,6.69,243778.39945475257
441,363.1955,5.08,245028.77888997394
442,364.3305,15.22,145240.96158854166
443,365.2059,9.59,161453.34273274738
444,366.3471,15.83,2728990.6822916665
445,366.3471,15.94,3449067.963216146
446,366.3471,16.08,3821152.348795572
447,366.3471,16.2,3860251.0912679033
448,367.242,5.43,235374.8048095703
449,367.2714,7.32,184298.7795003255
450,368.3601,16.44,1071997.611328125
451,368.3601,16.61,1424365.0854085286
452,368.4191,16.52,644975.578125
453,368.4191,16.65,962397.4029947916
454,368.4191,16.76,1017984.4705403645
455,369.2157,7.01,140801.16088867188
456,369.2452,8.85,200380.52779134113
457,369.2748,12.33,102047.00439453124
458,369.3191,13.43,329115.1315917969
459,369.3634,16.45,293698.0891927083
460,369.4225,16.51,175433.59375
461,370.3842,17.07,2427473.47265625
462,370.3842,17.2,2777934.797200521
463,370.3842,17.33,3051885.6389973955
464,371.2,12.04,235462.1650797526
465,371.3188,16.82,842520.0631510417
466,371.3188,16.94,1326254.2517903643
467,371.3188,17.07,1355098.0666910803
468,371.3782,17.07,663340.9007161456
469,372.2557,4.92,137118.64892578125
470,372.3152,16.82,178254.83341471353
471,373.2248,7.52,195647.59537760416
472,373.2248,7.74,275343.6692708333
473,373.2248,8.03,606145.8213297526
474,373.2248,8.18,768667.2835286458
475,374.2263,8.02,106044.72639973958
476,375.2006,6.11,454637.5792643229
477,375.2006,6.24,519431.657063802
478,375.2456,7.97,2461636.8059895835
479,375.2456,8.13,2556396.6393229165
480,375.2456,8.93,432587.0495605469
481,375.2456,9.06,466370.5930582682
482,375.2456,9.81,144562.50467936197
483,376.2375,7.97,471247.4696044922
484,376.2375,8.09,549337.7639973958
485,376.3429,16.52,1915597.848958333
486,376.3429,16.67,2732692.0406901045
487,376.3429,16.79,2789567.8659667973
488,377.217,5.77,4101884.5052083326
489,377.217,5.93,4744727.103678385
490,377.2321,15.13,159743.33760579425
491,377.3377,14.66,158533.34663899738
492,378.2141,5.77,530944.938680013
493,378.2141,5.89,665621.43359375
494,378.3201,11.74,242208.8411458333
495,380.262,6.43,590401.9109293619
496,380.262,6.55,573594.3346354166
497,381.2672,11.85,146082.73291015622
498,381.2977,16.53,2664087.443318685
499,381.2977,16.65,2997512.636433919
500,381.2977,16.77,3406258.2628580728
501,382.275,6.81,926759.8575846354
502,382.275,6.97,870948.4944661458
503,382.3056,16.52,587225.8424479166
504,382.3056,16.65,644143.478515625
505,383.2856,11.24,221716.06245930993
506,384.2987,7.21,1376926.4272460935
507,384.2987,7.52,1405703.5242919922
508,385.0681,8.77,128820.26985677081
509,385.0681,8.9,113478.13313802083
510,385.2992,7.28,170347.24161783856
511,385.3454,15.63,322066.4947916667
