,m/z,rt,peak area
77,200.1831,7.17,837535.4114583331
78,200.2392,4.64,4763797.678833008
79,201.0739,0.64,494821.80273437494
80,201.2429,4.64,588368.7278645833
81,202.2192,4.12,261085.67248535153
82,202.2192,5.45,451440.2971598307
83,202.2192,5.57,601775.888346354
84,205.0865,11.92,1348692.0408121746
85,205.0865,12.05,1509354.6634114583
86,205.0865,12.25,1417324.122721354
87,205.0865,12.37,1511654.493693034
88,207.1559,5.66,106315.20182291666
89,212.1198,4.24,131693.15197753906
90,214.2516,4.73,48427601.923583984
91,214.3802,4.73,2833681.1080729165
92,215.2567,4.73,7547803.519938151
93,216.0503,5.92,997699.4096272786
94,216.0503,6.07,1020406.0810546875
95,216.1972,4.16,135423.0039876302
96,216.2578,4.72,489900.84863281244
97,217.055,5.9,139054.11295572916
98,217.1071,4.59,3290423.949707031
99,217.1071,4.73,3412260.3315836582
100,217.1245,8.86,189472.88500976562
101,218.0383,0.61,644382.4803059896
102,218.0383,0.73,608575.1572265625
103,218.0383,0.85,758706.2666015623
104,218.0383,21.05,131109.0208333333
105,218.1081,4.59,289456.0384114583
106,219.0173,0.61,157940.97220865884
107,221.1211,8.25,265512.9212239583
108,221.1211,8.61,133425.91064453125
109,221.13,7.0,1251851.2708333333
110,221.1565,7.16,193536.955078125
111,223.1291,7.0,385880.16796875
112,225.1463,8.27,293340.70214843744
113,226.121,8.29,408648.1363932291
114,226.1933,4.65,171796.5712890625
115,228.0466,8.42,527659.4899088541
116,228.0466,8.54,531754.750813802
117,228.1926,8.19,471869.58683268225
118,228.1926,8.32,533205.2459309895
119,228.1926,16.32,178451.84497070312
120,228.2656,4.96,25409187.099975586
121,228.4026,4.96,1151579.9583333333
122,229.1897,7.91,23897245.75113932
123,229.1897,8.11,26327626.518391926
124,229.1897,8.25,26860909.576416016
125,229.2722,4.96,4228302.833821613
126,229.318,7.91,977119.2955729166
127,230.0622,6.14,1291147.5556640625
128,230.0622,6.29,1496637.8198242188
129,230.1911,7.91,2483906.6730143228
130,230.1911,8.03,2825108.624023438
131,230.1911,8.15,3139355.4263102207
132,230.2463,4.69,468065.383219401
133,230.274,4.96,277318.9112955729
134,231.0675,6.12,160864.494140625
135,231.1876,7.89,111728.822265625
136,233.0259,21.69,112712.49104817708
137,234.1377,4.59,2233395.9339192705
138,234.1939,4.65,308986.74308268225
139,235.1702,11.02,246227.5978190104
140,235.1702,11.14,275320.4658203125
141,236.1127,4.64,397856.12361653644
142,236.1127,4.76,475313.9100341797
143,238.171,3.38,101840.17122395833
144,239.1256,7.17,257121.41955566406
145,239.2404,15.59,960661.3763020833
