,m/z,rt,sn,score,peak area
194,285.1646,7.97,2.356,2,275492.63134765625
195,285.176,13.52,2.223,1,245072.36108398438
196,285.2103,4.54,0.0,1,182703.6497395833
197,285.2331,3.75,1.941,1,217982.13627115884
198,285.3016,16.19,2.393,2,352530.10095214844
199,286.2503,8.21,2.005,3,477175.6300048828
200,287.1448,11.6,0.0,2,109748.97070312499
201,287.1792,6.63,2.002,3,152225.6065266927
202,287.1792,6.77,1.073,3,160629.08227539062
203,288.1227,6.14,5.488,3,482583.7926432291
204,288.1573,5.71,0.645,3,209010.33935546875
205,289.1618,4.55,0.0,3,153384.5109049479
206,290.1814,9.85,5.852,1,755745.5709635416
207,290.1814,9.99,0.0,2,824858.7580159504
208,291.1697,6.64,0.0,3,103639.73909505208
209,291.2047,5.48,0.0,2,331735.96565755206
210,293.1916,7.8,0.985,3,119024.97403971355
211,294.2018,6.78,2.659,2,201868.50846354163
212,294.2136,10.63,0.653,3,118930.1368815104
213,295.2038,5.61,1.287,3,129540.92883300781
214,296.2092,7.24,0.0,3,253049.49959309894
215,296.2329,12.21,0.931,3,361749.0611979167
216,297.1823,4.95,1.005,2,122528.29947916667
217,297.2061,7.23,1.437,2,189933.1018880208
218,297.2299,11.06,2.192,3,606171.3567708334
219,297.2299,11.19,1.618,2,972097.6924641926
220,297.2299,11.38,0.845,1,189884.9237060547
221,298.2183,5.03,0.0,3,601971.615234375
222,298.3496,15.13,0.0,3,470881.2883300781
223,298.3496,15.26,0.0,1,479313.1027018229
224,299.1981,4.97,0.814,2,100762.8896484375
225,299.2579,13.85,1.587,3,284774.19437662757
226,299.2579,13.98,1.317,3,392203.0003255208
227,300.205,3.7,0.0,2,433702.52530924475
228,301.1793,11.04,1.491,3,173335.53580729166
229,301.1913,7.68,1.254,2,495708.24031575513
230,302.1808,9.98,8.471,1,3400619.305989583
231,302.1808,10.14,1.883,2,3673449.2213541665
232,302.1808,10.26,2.067,2,4147562.7815755205
233,302.2413,7.87,4.393,3,664091.4228515625
234,302.2413,7.99,1.662,2,767884.9020996094
235,303.1736,5.81,0.953,1,142190.18701171875
236,303.1857,9.96,3.134,3,592759.8515625001
237,303.1857,10.09,1.69,3,715008.8955078124
238,303.1857,13.54,0.0,3,165053.25781249997
239,305.1933,6.06,2.425,3,223098.70654296872
240,305.1933,6.17,1.061,3,251364.4318033854
241,306.2817,16.18,2.987,2,210586.43522135413
242,307.2019,5.79,1.006,3,144008.2766927083
243,307.2019,6.92,1.167,2,292847.5680338541
244,307.2388,9.48,1.144,2,464590.0089518228
245,308.2975,15.83,3.026,3,1841332.7681884766
246,308.2975,16.02,2.357,1,3040428.04707845
247,308.2975,16.15,2.252,2,3100465.029378255
248,309.2114,6.53,0.827,3,138532.2109375
249,309.2114,6.95,1.081,1,386224.5882161458
250,309.2114,7.31,0.92,3,153051.8221842448
251,309.2114,10.07,0.762,2,111224.76350911458
252,309.2237,6.01,1.321,1,2146897.914713541
253,309.2237,6.14,3.119,3,2015537.1402180986
254,309.2237,6.37,2.077,1,2130964.269409179
255,309.2237,6.48,1.091,2,2146897.914713541
256,309.2361,5.22,0.658,2,122386.91406249999
257,309.298,15.83,2.816,2,399877.3502604167
258,309.298,15.94,0.0,2,534968.7495117188
259,310.1528,4.24,2.834,1,172494.86376953125
260,310.2272,6.12,1.138,1,337685.9679361979
261,310.2396,11.28,0.996,3,369216.62581380206
262,310.2396,12.86,2.447,1,372635.646484375
263,310.2396,12.97,1.656,2,497523.61128743493
264,310.3141,16.44,7.168,3,1213686.5262044268
265,310.3141,16.61,2.071,1,1429073.6458333333
266,311.1966,4.73,1.006,2,104654.154296875
267,311.1966,5.22,1.019,2,127162.43383789062
268,311.1966,5.52,1.004,3,132505.85286458334
269,311.2091,8.97,0.789,3,117593.86417643228
270,312.219,5.67,0.0,3,114134.15755208333
271,312.3314,17.08,12.851,1,3472008.81274414
272,312.3314,17.23,0.0,1,3989244.1088867188
273,313.2698,15.59,3.23,3,580094.0748697916
274,313.2698,15.71,0.434,1,127224.93929036458
275,313.3325,17.08,5.801,2,663700.3937174478
276,313.3325,17.2,0.0,3,737772.2241617838
277,315.1803,5.69,2.601,3,243585.79988606772
