,m/z,rt,sn,score,peak area
184,214.3803,4.73,0.0,1,1911035.114583333
185,214.9986,7.66,0.0,2,162875.0185546875
186,215.0072,7.66,0.0,2,162875.0185546875
187,215.1276,4.36,0.977,2,141735.7010498047
188,215.2568,4.72,61.937,1,6302268.591145833
189,215.2568,4.93,0.0,1,6332673.262369791
190,216.0503,5.92,0.0,1,607685.1788736979
191,216.1368,4.76,0.0,1,752329.0358072917
192,216.1627,6.27,0.0,1,176592.1534830729
193,216.1973,4.16,0.0,2,149749.61214192706
194,216.2579,4.72,0.0,2,448984.39489746094
195,217.0464,0.88,0.785,3,430606.8166097005
196,217.0464,1.17,0.922,2,283613.01416015625
197,217.0464,21.06,1.98,3,368548.1241861979
198,217.0464,21.17,1.151,2,515319.7189941406
199,217.1072,4.59,0.0,1,2377828.9330240884
200,217.1072,4.72,0.0,3,2389333.763346354
201,217.1246,8.86,2.175,2,182881.0380859375
202,218.0384,21.05,0.0,2,113248.07828776042
203,218.1693,5.04,0.0,1,308353.72664388013
204,219.1489,7.63,16.938,3,3472329.3968098965
205,219.1489,7.84,2.29,2,3783159.1497395835
206,219.1489,7.96,1.633,2,3808571.043457031
207,219.1839,5.14,12.514,2,920281.0618489584
208,219.1839,9.64,0.0,2,245803.02958170572
209,220.0536,6.19,0.0,2,128326.82869466144
210,220.1504,7.63,5.561,3,398327.63850911456
211,221.1212,8.22,0.0,2,248345.45951334637
212,221.1389,3.95,0.0,3,342869.34379069007
213,221.1389,7.0,4.789,3,879643.2169596355
214,221.1566,7.15,2.267,3,179202.04854329425
215,221.1566,7.31,1.318,1,112757.35640462239
216,221.1566,10.25,0.0,1,115337.60583496094
217,221.1654,6.69,5.229,3,384678.3739013672
218,221.1654,8.36,5.509,2,1562396.4101562495
219,221.1654,8.51,1.572,1,1820951.8909912107
220,221.1654,8.64,0.875,1,134519.9505208333
221,222.0074,0.62,0.0,1,106190.4005533854
222,222.114,5.12,0.0,2,252521.87341308594
223,222.1673,8.35,0.0,1,191012.4973958333
224,223.1202,8.02,0.843,1,245542.9944661458
225,223.1292,5.07,1.08,3,202437.62760416666
226,223.1559,4.27,34.64,2,3051704.2445475254
227,224.131,8.54,4.353,1,1104736.4921875
228,224.131,8.75,1.715,1,1315431.4392089844
229,224.131,8.86,1.148,1,1361301.0202636719
230,224.1579,4.27,0.0,2,293322.8092447916
231,224.1848,5.69,2.482,3,169018.54085286456
232,225.0473,6.79,1.662,1,100727.13134765625
233,225.0473,7.46,0.0,1,168553.76700846353
234,225.1373,8.52,1.138,1,122247.98583984375
235,225.1373,8.64,0.867,2,112150.81624348958
236,225.1464,5.95,0.988,3,119262.3839518229
237,225.1464,8.26,2.961,2,343446.7635498047
238,225.1914,8.95,0.629,3,137271.75915527344
239,225.2004,8.46,7.539,3,6325310.854166667
240,225.2004,8.58,1.264,2,6759076.256510417
241,226.1211,8.3,19.158,3,4401599.37141927
242,226.1211,8.53,1.216,2,4748510.805908203
243,226.1482,4.86,1.489,2,236757.336710612
244,226.1663,3.69,0.0,1,178005.80338541663
245,226.2025,8.46,7.132,2,982730.4677734374
246,226.2025,8.58,1.48,2,1016904.2024739583
247,226.2206,11.16,3.383,2,300629.42578125
248,227.0637,9.74,0.0,1,158472.36165364584
249,227.1182,6.22,2.646,1,260809.89404296872
250,227.1273,4.27,6.245,1,1280842.1354166665
251,227.1273,4.4,1.929,2,1724879.739827474
252,227.1273,8.29,4.374,1,560459.6399739583
253,227.209,9.24,8.921,2,2053720.537109375
254,227.209,9.4,1.795,1,2221897.3741048174
255,227.209,9.54,1.287,1,2466391.3522135415
256,228.0467,8.41,0.0,2,224111.7872721354
257,228.1288,4.23,0.0,1,120981.48177083333
258,228.1562,5.14,1.142,3,116119.39697265624
259,228.1927,8.18,2.046,2,382959.7550455729
260,228.1927,8.29,2.012,3,399745.76306152344
261,228.1927,16.3,0.0,1,179779.48730468747
262,228.2657,4.96,134.944,2,21111110.17692057
263,229.0706,7.97,1.14,1,178355.41768391925
264,229.1256,6.63,0.0,1,187198.54138183594
265,229.1256,6.8,1.013,3,122051.04231770833
266,229.1439,4.02,1.146,1,432510.52620442706
267,229.1623,9.84,1.581,1,219873.9915364583
