,m/z,rt,sn,score,peak area
201,284.1511,6.75,3.017,2,380841.2302246094
202,284.1852,8.54,6.863,3,8203493.724894205
203,284.1852,8.82,2.537,2,9458680.80847168
204,284.1852,8.94,5.559,2,9654379.440714518
205,284.208,4.54,4.262,2,510009.8825683594
206,284.208,4.66,0.0,1,599137.4535725911
207,284.2534,8.45,0.0,1,271425.1110839844
208,284.2989,16.19,2.452,2,1414831.216105143
209,284.2989,16.35,2.602,1,2380591.1422526035
210,284.2989,16.47,2.23,2,2397163.450805664
211,285.1645,6.01,3.717,2,230674.3323974609
212,285.1645,6.69,1.9,2,185243.6966145833
213,285.1645,7.97,2.49,1,509951.30179850257
214,285.1645,8.13,1.251,1,545597.5529785156
215,285.1645,8.32,2.865,2,204766.46256510416
216,285.1759,6.22,2.181,3,178762.17549641925
217,285.1759,13.53,2.412,2,198921.90759277344
218,285.1873,8.54,3.654,1,832707.6858317057
219,285.1873,8.67,2.451,3,858945.2250976562
220,285.1873,8.8,1.003,2,963165.6324462891
221,285.2672,9.23,4.02,2,469307.1022135416
222,285.2672,9.35,1.246,2,510038.0450032552
223,285.3014,16.19,2.881,3,275198.001953125
224,286.1815,9.22,0.0,1,100811.54052734375
225,286.2502,8.19,3.108,1,594282.0102539062
226,290.1813,9.83,0.0,2,315257.3253173828
227,291.2045,5.47,0.0,1,238912.12076822913
228,291.2394,9.76,0.0,3,135005.7228190104
229,296.209,4.77,7.423,2,540878.3795572916
230,296.209,7.23,0.0,3,132868.52807617188
231,297.1584,10.36,3.477,1,498295.4396158854
232,297.1584,10.48,0.0,3,580583.0476074219
233,297.2297,11.05,2.397,1,523573.5211588541
234,297.2297,11.16,0.666,3,224654.30834960938
235,298.1585,4.65,0.0,3,309885.1320800781
236,298.2182,5.03,0.0,2,221678.52376302084
237,298.3494,15.13,3.24,3,517953.1529947916
238,298.3494,15.25,1.494,3,619621.3904622395
239,299.15,5.38,0.0,3,121733.45715332031
240,299.1859,13.53,2.92,2,225853.96952311197
241,300.1809,6.06,0.0,2,140231.4588216146
242,300.1809,7.17,0.0,1,218318.89306640622
243,300.2049,3.7,0.0,3,392719.03771972656
244,301.143,11.94,0.0,2,109677.48063151042
245,301.143,12.11,0.0,1,127386.9220377604
246,301.1671,5.31,0.0,2,193349.7647705078
247,301.1791,11.03,0.0,1,179874.35624186197
248,301.1911,8.55,0.0,2,130938.83060709634
249,302.2411,7.86,3.741,1,335847.41455078125
250,303.1734,5.03,8.727,3,3894374.940104167
251,303.1734,6.0,0.0,2,132151.6212565104
252,303.1734,7.08,1.49,3,110724.64892578125
253,303.1855,13.53,0.0,2,145555.69217936197
254,304.1816,5.02,5.248,2,517426.25744628906
255,304.1816,5.13,1.075,2,523121.4248046875
256,305.1687,8.52,2.715,2,381775.50089518225
257,305.1931,5.27,0.0,2,133618.65885416666
258,306.1591,7.21,8.414,3,968790.0675455729
259,306.1591,7.36,1.219,1,1005322.3352457681
260,306.1591,10.31,0.0,3,161407.8001302083
261,307.1649,7.2,0.0,1,139885.86393229166
262,307.2018,6.95,0.0,1,230662.50113932294
263,307.214,5.73,0.0,3,706496.8971354166
264,308.174,8.81,0.0,3,208056.55664062497
265,308.2973,15.83,3.461,3,1484954.5071614585
266,308.2973,15.94,2.389,2,2011999.125325521
267,308.2973,16.08,2.069,3,2250981.6833903
268,309.1988,9.89,0.0,2,324843.4864908854
269,309.2236,6.08,1.592,1,963299.591796875
270,309.2236,6.2,2.914,1,850849.2700195311
271,309.2236,6.32,1.91,1,963299.591796875
272,309.2978,15.82,3.311,1,308198.77490234375
273,309.2978,15.95,0.0,3,399389.4038899739
274,310.1526,4.24,0.0,3,306837.376953125
275,310.2395,12.85,2.797,2,331782.61722819007
276,310.2395,12.98,1.22,3,442598.49414062494
277,310.3139,16.45,3.599,3,810668.1649169922
278,310.3139,16.61,0.0,1,1163027.8400472002
279,311.184,8.84,1.816,1,171525.0169270833
280,312.3313,17.07,14.869,1,2509801.5009765625
281,312.3313,17.24,0.0,1,2800989.8345947266
282,313.0567,6.62,3.335,2,235675.28344726562
283,313.1193,7.76,5.364,2,500141.9506835937
284,313.1193,7.88,0.0,1,535630.0738932291
285,313.1444,12.03,2.627,3,197074.85734049478
286,313.207,7.56,0.0,2,116289.92020670572
287,313.2696,15.6,3.658,3,239903.6360677083
288,313.3323,17.08,5.704,1,473227.692220052
289,315.1801,5.69,8.808,2,2670475.710611979
290,315.1801,5.85,2.714,3,3172043.405192057
291,315.1801,5.97,0.0,1,3204955.041829427
292,316.1776,5.7,2.513,2,302676.24222819007
293,317.191,5.63,0.0,1,126674.60013834636
294,317.191,7.98,3.085,2,476091.3063151041
295,317.191,8.11,0.0,2,572718.6619466146
296,318.2712,8.09,0.888,2,1303428.8967692056
297,318.2712,8.25,4.095,3,1214258.593424479
298,318.2712,8.37,1.275,2,1303428.8967692056
299,319.2786,8.15,0.0,3,142948.00150553384
300,320.2122,13.53,3.277,1,808104.7858072915
301,320.2122,13.65,1.901,1,1100610.3001302083
302,320.2122,13.76,1.166,3,1290227.281616211
303,321.2128,13.53,2.773,1,219277.4364013672
304,321.2128,14.81,0.0,3,103290.46044921875
305,322.1521,5.21,3.861,1,286014.8850911459
306,322.2165,5.45,0.955,2,223968.18033854166
