,m/z,rt,sn,score,peak area
305,309.2231,6.12,1.037,1,315179.80700683594
306,310.2142,10.66,0.0,3,108238.34318033853
307,310.239,12.86,2.789,2,384115.0862223307
308,310.239,12.98,1.222,3,472604.49918619794
309,310.3135,16.45,2.612,2,419312.318359375
310,310.3135,16.57,0.0,1,584439.7096354166
311,311.1836,8.87,2.735,2,230430.96044921875
312,312.3308,17.08,5.192,1,876982.9319661456
313,312.3308,17.26,1.084,3,1051915.3200683594
314,313.1439,12.04,3.433,1,316498.7259114583
315,313.2692,15.38,4.401,3,1360177.3619791665
316,313.2692,15.51,0.097,2,3043228.12890625
317,313.2692,15.68,0.49,2,904162.6256510416
318,313.2692,15.81,0.151,3,1318483.3747558594
319,313.3318,17.08,0.0,2,164811.53287760416
320,314.2732,15.59,3.184,2,664778.5572916666
321,314.2732,15.72,0.0,1,845893.6884765625
322,315.1292,9.75,3.181,1,240941.8331705729
323,315.1796,5.69,2.165,1,145080.380086263
324,316.0001,0.61,11.043,1,1318890.765625
325,316.0001,0.78,1.847,1,1352410.0302734375
326,316.0001,21.07,0.0,1,100227.70458984375
327,316.1392,4.19,8.433,2,689151.5859375
328,317.1144,4.91,5.047,1,1035592.8365885415
329,318.2708,8.09,1.513,3,3013241.098307291
330,318.2708,8.23,3.578,2,2164549.9001464844
331,318.2708,8.35,1.949,3,2622961.45336914
332,318.2708,8.47,2.082,2,2988143.444335937
333,318.2708,8.6,2.088,1,3013241.098307291
334,319.2781,8.19,2.477,2,315696.4812825521
335,319.2781,8.3,1.323,2,348182.700398763
336,320.2117,13.55,3.737,2,955269.8404947915
337,320.2117,13.66,1.786,1,1212883.1809895833
338,320.2117,13.78,1.229,3,1378092.542154948
339,320.2758,14.39,2.813,2,304432.1416015625
340,321.2123,13.51,2.182,3,234542.82470703128
341,321.238,13.82,1.28,2,210079.9002685547
342,322.0743,7.52,0.0,3,146658.05932617188
343,322.1516,5.2,3.594,3,258664.91552734372
344,322.2934,13.9,7.478,3,1241302.1106770833
345,322.2934,14.01,2.385,3,1343239.8033854165
346,322.2934,14.14,0.984,2,1412016.6730143225
347,322.9903,0.63,0.0,1,226324.1075846354
348,323.3005,13.89,0.0,3,176333.6160481771
349,325.168,13.51,2.149,1,207318.65079752603
350,325.2071,10.36,0.0,3,204549.36909993488
351,325.2331,14.38,3.633,1,608584.4593505859
352,325.2331,14.51,1.53,3,719135.5276692706
353,326.2363,10.65,0.0,3,119151.5333658854
354,327.0071,8.8,0.0,2,273843.6007080078
355,327.0071,8.91,0.0,1,280346.18538411456
356,327.2557,13.89,0.0,2,136509.6331380208
357,329.0014,8.78,0.0,3,265977.81591796875
358,329.2778,12.23,0.0,1,2107899.552001953
359,329.2778,12.36,1.794,1,1570717.5764567053
360,329.2778,12.47,2.413,2,1969680.9908854165
361,329.2778,12.61,1.603,2,1995003.414876302
362,329.2778,12.74,0.0,2,2107899.552001953
363,330.2803,12.28,0.978,1,182689.5136311849
364,330.3332,13.65,3.317,3,306198.2419433594
365,331.2859,15.38,2.174,2,1353518.4453125
366,331.2859,15.59,3.458,3,26227072.271972656
367,331.2859,15.79,5.891,3,40995424.43229167
368,331.2859,15.99,4.093,1,41046750.26595052
369,331.4449,15.59,0.0,2,1435324.5589192708
370,332.1483,9.73,0.0,3,255523.51725260416
371,332.2945,15.59,3.436,3,5550005.3115234375
372,332.2945,15.72,1.866,2,6847009.984375
373,332.2945,15.84,0.48,3,715811.4938151041
374,332.2945,15.99,0.407,2,329758.521484375
375,332.3344,12.84,2.33,3,253748.75358072916
376,333.2929,15.59,3.602,2,757722.4352620442
377,333.2929,15.73,2.035,1,957394.9440104166
378,335.2315,9.81,2.216,1,226634.91471354166
379,335.2315,9.92,1.027,1,291944.2096354166
380,335.2315,10.58,3.18,2,772065.8453776042
381,335.2315,10.71,1.69,2,1095574.433268229
382,336.2387,10.58,0.0,2,181138.24466959634
383,336.306,14.64,2.211,3,174473.3821614583
384,337.2085,11.94,1.326,1,786935.7347005208
385,337.2085,12.13,3.556,2,1601633.6520996094
386,337.2085,12.26,1.505,2,2173732.5361328125
387,337.2085,12.39,0.81,3,2260254.6660156255
388,337.2085,12.51,0.932,2,212077.51009114578
389,338.2216,11.94,0.0,1,135270.17248535156
390,338.2216,12.13,2.584,3,293210.3425292969
391,338.2216,12.26,0.0,2,356035.92541503906
392,338.3163,14.85,1.809,3,278558.5402018229
393,338.3434,17.22,9.922,1,9313326.916666666
394,338.3434,17.38,6.639,3,10686580.001627604
395,338.3434,17.59,1.821,3,10876180.247151691
396,338.9665,0.64,5.711,1,561229.0247395833
397,338.9665,0.79,0.0,2,710478.1127115884
398,339.3463,17.21,9.04,3,2149296.975423177
399,339.3463,17.36,2.28,3,2500654.6510416665
400,339.3463,17.49,0.0,2,2558943.290730794
401,340.3523,17.21,3.172,1,220669.53287760416
402,341.3066,16.35,0.897,1,1169814.7565104167
403,341.3066,16.52,2.656,2,2899752.4293619795
404,341.3066,16.65,2.181,1,3565746.0458170567
405,341.3066,16.77,1.948,1,3857747.603800456
406,342.3046,16.52,2.149,3,323590.9547526041
407,342.3183,16.36,2.766,3,197191.3927815755
408,342.3457,16.19,2.427,3,462471.55501302076
409,342.3457,16.31,0.0,3,598445.8695882161
410,343.1546,11.64,2.559,2,846862.5336914061
411,343.1546,11.81,2.023,2,852375.8919677734
412,344.2269,4.02,0.0,3,930969.8516438801
413,345.2335,3.99,0.0,3,105723.33296712239
414,347.2277,9.84,0.0,3,172065.11128743488
415,348.2291,9.85,6.919,2,4279587.981119791
416,348.2291,9.99,3.138,3,4714859.026041666
417,348.2291,10.12,2.2,2,5235079.525878906
418,348.2291,10.23,2.37,1,5222092.266560872
419,348.2291,10.37,1.192,2,5234927.473876953
420,348.3127,15.59,3.535,3,24906705.965820312
421,348.3127,15.78,3.885,2,36409146.071614586
422,348.3127,15.94,4.202,3,36946493.69685873
423,348.48,15.59,0.0,3,1394793.4283854165
424,349.2335,9.84,4.922,3,912358.1975504558
425,349.2335,10.0,0.0,3,1016803.2913411458
426,349.2893,14.02,0.434,3,197148.91589355466
427,349.3173,15.59,3.383,3,5370367.968668619
428,349.3173,15.72,2.322,2,6891279.723958333
429,349.3173,15.84,2.81,1,7713107.86360677
430,349.3173,15.99,0.0,2,7830105.767089845
431,350.2267,9.85,5.258,2,1379291.0541992188
432,350.2267,9.98,2.347,1,1535704.351236979
433,350.3248,14.42,1.075,3,402249.744140625
434,351.2368,9.84,2.571,1,235429.36881510416
435,353.2233,11.61,1.679,2,109304.54166666666
436,353.2657,15.38,4.007,1,2109496.7161458335
437,353.2657,15.49,4.048,3,37007165.85644531
438,353.2657,15.68,3.034,2,30392388.852294922
439,353.2657,15.81,2.821,2,36009020.99218749
440,353.2657,16.03,8.052,3,37007165.85644531
441,354.2279,10.27,0.0,2,239509.40917968747
442,354.2704,15.37,2.698,3,403998.53511555993
443,354.2704,15.49,0.473,2,475521.4248860677
444,354.2704,15.68,3.075,1,5927876.887044271
445,354.2704,15.81,2.869,1,7009895.644531249
446,354.2704,15.98,1.708,3,7192466.397135417
447,354.2845,10.88,0.0,3,140184.4130859375
448,355.2779,15.59,2.27,1,616991.4759114584
449,355.2779,15.74,2.019,1,1096028.2208658855
450,355.3063,12.5,0.989,3,127642.43343098958
451,356.2741,5.91,0.0,1,124058.880859375
452,356.2883,15.59,0.0,3,113714.88562011719
453,357.1444,12.49,1.465,3,268951.5690917969
454,357.2873,15.59,0.0,3,318269.9180501302
455,357.3159,13.84,1.796,2,1274717.8343098958
456,357.3159,13.97,1.647,2,1702904.7659505205
457,357.3159,14.1,1.627,3,1713853.4962565103
458,357.3159,14.21,2.151,3,1991627.9360351562
459,357.3159,14.35,0.0,2,2117728.07430013
460,358.3177,13.82,1.149,1,202326.509765625
461,359.2075,6.74,1.466,2,121151.6603190104
462,359.3224,16.35,2.978,2,1203157.2369791665
463,359.3224,16.53,2.807,3,15143502.202799477
464,359.3224,16.65,2.202,3,21461303.125
465,359.3224,16.77,2.87,3,23316794.022786457
466,360.1858,11.62,0.0,3,360455.2850341797
467,360.1858,11.74,2.237,3,335837.3850504557
468,360.3155,16.35,2.447,1,266920.408203125
469,360.3155,16.52,2.89,1,3587364.333984375
470,360.3155,16.65,2.293,2,4883881.789550781
471,360.3155,16.77,2.821,3,5432930.6875
472,360.3155,16.9,0.922,1,5500707.1816813145
473,360.3299,17.22,6.269,2,1655846.7248128252
474,360.3299,17.37,0.579,2,290539.4194335938
475,360.3299,17.49,0.41,1,314364.14453125
476,360.3587,14.13,0.0,3,113741.19873046875
477,361.3258,16.53,2.718,2,495592.6599121093
478,361.3258,17.2,4.834,1,370945.22159830725
479,362.3244,11.68,0.0,3,157022.13850911456
480,363.3258,13.9,5.782,1,1421675.0755208333
481,363.3258,14.02,2.014,2,1618884.3964843748
482,363.3258,14.14,0.803,2,237875.92138671872
