,m/z,rt,sn,score,peak area
288,295.2271,12.67,2.117,1,305844.62849934894
289,296.2325,12.67,1.049,1,183107.21919759113
290,297.2295,11.06,2.845,1,624778.0478515624
291,297.2295,11.2,1.757,1,882558.876627604
292,297.9914,0.62,5.861,2,416449.6920572916
293,298.3492,8.36,0.0,2,407336.0813802083
294,299.1857,13.53,2.498,3,207932.43505859375
295,300.0246,0.61,4.298,2,648302.8966878254
296,300.2047,3.7,0.0,2,590845.9664713541
297,300.2647,13.83,1.998,2,336980.18819173175
298,300.2647,13.95,1.342,1,465395.73046874994
299,300.2887,16.05,0.0,1,105440.68326822916
300,301.0223,0.61,4.834,3,240828.93261718747
301,301.1427,11.93,2.176,2,136094.91658528644
302,301.1427,12.12,2.822,3,253981.0305989583
303,301.1789,11.02,1.438,1,191130.17281087238
304,301.215,16.04,0.994,2,110028.67574055989
305,301.2873,11.11,1.663,3,127174.13932291666
306,302.2409,7.85,3.494,2,423008.64644368493
307,302.2409,7.97,1.641,3,528428.774251302
308,302.3013,12.01,3.359,3,336533.52701822924
309,303.1853,13.53,0.0,2,148029.53877766925
310,303.2581,14.38,3.607,1,470543.3343098958
311,305.2173,6.4,7.669,3,1534550.7213541665
312,305.2173,6.52,2.461,2,1664407.680989583
313,305.2173,6.64,1.225,3,1807473.9654134111
314,306.2201,6.4,0.0,3,254633.44388834637
315,306.2813,16.19,1.818,1,148392.8955078125
316,308.0629,7.47,0.0,1,144823.82006835938
317,308.2971,15.83,2.893,1,1417486.4822591147
318,308.2971,15.95,2.178,3,2003947.6529947915
319,308.2971,16.08,0.0,1,2374269.401163737
320,309.211,10.66,4.125,1,758857.1647135417
321,309.211,10.8,0.0,3,937428.4468994141
322,309.2234,6.12,0.0,1,426369.75960286456
323,309.2234,6.24,0.0,3,423010.51806640625
324,309.2234,6.36,0.0,2,426369.75960286456
325,309.2976,15.83,2.635,2,320090.7854817709
326,309.2976,15.97,1.371,3,411900.9970703125
327,310.2144,10.63,0.0,2,135998.1551106771
328,310.2393,12.86,2.585,2,578369.0915120442
329,310.2393,13.0,1.705,3,914873.8671874999
330,310.3137,16.45,3.194,2,776511.8450520833
331,310.3137,16.58,2.052,2,1005458.0963134766
332,310.3137,16.69,0.0,1,1108321.7244466147
333,311.1838,8.85,0.0,1,161349.20572916666
334,311.246,12.86,0.0,2,123816.78287760416
335,311.3083,16.45,2.466,1,154986.42346191406
336,312.331,17.09,12.829,2,2312260.9082031245
337,312.331,17.25,2.578,1,2518040.795735677
338,312.331,17.36,0.0,2,2530187.503784179
339,313.0565,6.62,2.747,3,175986.67045084634
340,313.1441,12.04,5.603,3,597018.502766927
341,313.1441,12.17,1.42,1,658779.7954101561
342,313.3321,17.08,5.984,1,433581.7951660156
343,314.2735,15.59,2.887,1,549997.4713541666
344,314.2735,15.71,0.0,3,715526.2898763021
345,316.0004,0.65,5.285,3,947533.7271321614
346,316.1395,4.18,6.146,3,598379.8468424479
347,317.1146,4.91,8.01,2,1075822.2854817708
348,318.271,8.08,1.125,1,2205551.2838948565
349,318.271,8.2,2.517,3,1365499.4381510417
350,318.271,8.35,2.108,1,2071319.1997070315
351,318.271,8.47,1.78,2,2205551.2838948565
352,318.2965,14.06,0.882,2,119202.16589355469
353,319.2783,8.19,2.189,2,235946.95943196616
354,320.212,13.53,3.397,3,903581.8723958333
355,320.212,13.65,2.172,1,1137125.929321289
356,320.212,13.77,1.205,3,1330391.6977539062
357,320.276,14.38,3.852,1,354182.83740234375
358,321.2126,13.53,2.638,3,210860.02636718747
359,321.2383,13.83,1.875,1,540704.3678385416
360,321.2383,13.95,2.267,3,1073364.1232096353
361,322.0746,7.54,0.0,1,139335.91097005206
362,322.1519,5.21,3.648,2,248963.49117024738
363,322.9905,0.63,6.627,1,351782.6833496094
364,323.2619,14.05,1.474,2,240292.9661458333
365,325.1683,13.53,2.208,1,177649.528116862
366,325.2073,5.06,1.52,3,149324.8126627604
367,325.2073,10.36,0.0,3,126122.93408203124
368,325.2333,14.39,4.846,2,605246.7840983071
369,325.2333,14.51,1.497,3,650261.5921630859
370,326.2366,10.66,0.0,2,126226.11551920572
371,326.2496,6.16,0.0,1,109995.01497395833
372,327.0074,8.79,0.0,2,239385.92610677084
373,329.0016,8.79,2.009,2,226587.3320719401
374,329.2386,16.94,1.069,1,125632.52018229166
375,330.2806,12.24,0.0,1,1017386.9833984374
376,330.2806,12.39,1.831,3,807218.3720703124
377,330.2806,12.55,1.379,3,839771.2575276692
378,330.2806,12.67,0.0,1,1017386.9833984374
379,330.3334,13.65,2.531,3,259767.00553385416
380,331.2861,15.38,2.838,1,1361323.7154947915
381,331.2861,15.59,4.174,1,26242316.231770832
382,331.2861,15.71,2.398,3,30657804.41601562
383,331.2861,15.82,3.722,3,35165698.74674479
384,331.2861,15.95,2.483,1,35292207.371053055
385,331.4452,15.6,0.0,1,1090927.875
386,332.2948,15.59,4.521,3,5248043.876261393
387,332.2948,15.8,0.612,2,420648.9791666666
388,332.3346,12.83,2.88,2,357225.9291585286
389,332.3346,12.96,0.0,1,445111.71834309894
390,333.2931,15.59,4.26,3,727716.2101643881
391,333.2931,15.71,1.95,3,822995.2802734375
392,334.3079,17.08,0.0,1,261270.61816406247
393,335.2318,9.79,2.195,1,249565.3037109375
394,335.2318,10.59,3.665,3,687407.4850260415
395,335.2318,10.71,1.828,1,889425.1837565104
396,336.239,10.57,0.0,3,130493.6251627604
397,336.3062,14.66,0.0,2,125137.91044108072
398,337.1548,8.17,0.0,1,108683.66715494792
399,337.2087,11.94,2.513,2,2102989.92578125
400,337.2087,12.06,1.249,2,2440077.924153646
401,337.2087,12.21,2.115,2,2313497.5160319014
402,337.2087,12.32,1.442,1,2440077.924153646
403,337.2087,12.44,0.723,1,228383.25541178387
404,338.2219,11.94,0.0,3,124623.68619791666
405,338.2219,12.13,0.0,1,225166.56005859375
406,338.3166,14.81,1.084,2,281417.8277994792
407,338.3436,17.21,8.217,2,5937313.643229167
408,338.3436,17.35,4.412,3,7012785.430257162
409,338.3436,17.5,2.725,2,7111796.545328775
410,338.3436,17.63,1.67,1,7679459.23449707
411,338.9668,0.64,5.495,1,556127.5186360676
412,338.9668,0.79,0.0,1,644327.7823893229
413,339.3466,17.21,4.877,2,1265733.7805989583
414,339.3466,17.36,2.524,2,1641447.7361653645
415,339.3466,17.47,1.698,1,1656823.5288085938
416,340.3389,15.67,1.114,3,103657.45642089844
417,340.3525,17.21,2.112,1,116550.8193359375
418,341.3068,16.34,0.69,3,1074530.998860677
419,341.3068,16.47,0.0,2,3442503.3958333326
420,341.3068,16.64,2.485,1,3172867.0056152344
421,341.3068,16.75,0.0,1,3442503.3958333326
422,342.346,16.19,0.0,2,1309775.5345052083
423,343.1548,11.66,0.0,1,263933.38720703125
424,343.3471,16.19,2.912,2,244082.79589843747
425,344.2271,4.02,7.629,1,1091841.6461995444
426,345.2337,4.0,0.0,1,159683.94820149738
427,347.228,9.82,0.0,3,183495.76814778644
428,348.2294,9.86,4.969,3,4104402.9864095054
429,348.2294,9.97,2.946,3,4730781.087890625
430,348.2294,10.09,2.369,2,5288850.092407227
431,348.2294,10.22,2.331,2,5333350.430908203
432,348.2294,10.34,1.639,1,5356796.943277994
433,348.313,15.59,4.157,2,23771429.916585285
434,348.313,15.74,1.803,2,29034555.09895833
435,348.313,15.87,3.855,2,32326575.044270832
436,348.313,15.99,4.096,3,32801480.280924477
437,348.4802,15.6,0.0,1,1092667.96484375
438,349.2337,9.85,4.117,1,876482.1907145182
439,349.2337,9.97,1.883,2,1018417.8669840494
440,349.2337,10.09,0.0,2,1062002.4697265623
441,349.3176,15.59,4.494,1,5192682.2919921875
442,349.3176,15.71,2.369,2,6060005.159830729
443,349.3176,15.82,3.425,1,6954287.571370443
444,349.3176,15.95,2.744,2,6974222.850097656
445,350.2269,9.86,3.856,3,1281495.4005940754
446,350.2269,9.98,2.229,3,1564297.2839762368
447,350.2269,10.1,1.226,1,1614690.9444580078
448,350.325,14.46,0.993,1,256086.6974283854
449,350.325,15.01,1.084,3,203451.885172526
450,351.237,9.82,2.353,3,269544.301595052
451,351.237,9.94,0.979,2,284906.83654785156
452,351.237,10.05,1.39,1,122831.95100911458
453,353.266,15.38,4.313,3,1942982.6015625
454,353.266,15.52,3.404,3,32950805.570475258
455,353.266,15.7,2.474,3,27296935.15991211
456,353.266,15.81,2.722,1,32112386.046223957
457,353.266,15.99,10.167,1,32950805.570475258
458,353.2801,11.78,1.171,3,143279.4884033203
459,354.2281,10.26,0.0,1,220676.5003255208
460,354.2848,10.91,0.0,2,185423.81233723956
461,355.2782,15.59,2.729,3,650906.175455729
462,355.2782,15.7,1.713,2,839438.2596028645
463,355.2782,15.82,1.398,2,1004813.5675455729
464,355.2924,13.22,0.917,3,161052.0128580729
465,355.2924,13.61,1.234,1,125241.89274088542
466,355.3066,12.51,0.986,3,137664.0009765625
467,356.2743,5.92,0.0,2,142994.33365885416
468,357.1447,12.51,1.358,2,139771.41764322916
469,357.2876,15.59,2.331,3,231401.2941080729
470,358.318,13.84,2.132,2,736640.7561848958
471,358.318,13.98,1.714,3,1005426.3433024088
