Average m/z,Average RT (min),Average sn,Average score,20181114_CoulterCreek_2,20181114_Crescent-Creek-May_2,20181114_SR518-Cal_1000mL_dil-to-160mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-60mL_1,20181114_SR520-Cal-in-DI_400mL_2,20181114_SwanCreek-Dec_3
182.1872,4.98,0.077,0.1,0.0,0.0,0.0,0.0,707604.44,0.0
182.1873,4.86,1.4963332,0.26666668,0.0,0.0,194676.25,271627.28,651911.94,0.0
183.06366,0.65,inf,0.35000002,0.0,398116.03,0.0,0.0,0.0,266850.0
183.1006,4.23,1.954,0.1,0.0,0.0,144749.44,0.0,0.0,0.0
183.1224,10.37,inf,0.6,0.0,0.0,0.0,0.0,249866.88,0.0
184.04749,0.607,4.7046666,0.73333335,394695.44,1012856.7,0.0,0.0,0.0,887810.9
184.04749,0.747,inf,0.1,694757.7,1344981.9,0.0,0.0,0.0,939649.9
184.13605,8.375,inf,0.35000002,0.0,0.0,0.0,119234.64,886277.1,0.0
184.2096,5.33,1.23,1.0,0.0,382066.4,0.0,0.0,0.0,0.0
185.05145,0.655,inf,0.6,0.0,201748.84,0.0,0.0,0.0,119299.2
185.1182,4.28,inf,1.0,0.0,0.0,0.0,0.0,124128.03,0.0
186.046,0.64,inf,1.0,0.0,130243.89,0.0,0.0,0.0,0.0
186.22464,5.25,1.541,0.35000002,1988073.5,1710273.6,0.0,0.0,0.0,0.0
186.22462,5.5,2.3536665,0.56666666,1988073.5,1710273.6,0.0,0.0,0.0,1675318.6
186.22472,5.356,2.3026001,0.58000004,1838964.2,1390511.2,305124.84,0.0,904312.5,1318173.0
186.22464,4.91,inf,0.35000002,0.0,162263.94,0.0,0.0,0.0,155822.19
186.2248,5.46,2.025,1.0,0.0,0.0,0.0,0.0,1170086.5,0.0
186.2247,5.59,0.7865,0.8,0.0,0.0,0.0,0.0,1251328.4,1759296.5
186.2248,5.73,0.511,0.6,0.0,0.0,0.0,0.0,257494.55,0.0
186.9934,17.88,0.985,0.6,1958629.9,0.0,0.0,0.0,0.0,0.0
186.9934,19.45,0.683,1.0,2120890.5,0.0,0.0,0.0,0.0,0.0
186.9934,20.82,0.976,1.0,189030.92,0.0,0.0,0.0,0.0,0.0
186.9934,0.64,3.539,0.6,606382.6,0.0,0.0,0.0,0.0,0.0
187.13556,7.905,inf,0.6,103386.15,0.0,0.0,0.0,0.0,100239.836
187.2255,5.325,1.165,0.1,120126.25,109949.84,0.0,0.0,0.0,0.0
187.9986,0.76,inf,0.6,0.0,0.0,0.0,0.0,230419.77,0.0
187.9986,0.64,1.683,0.6,0.0,0.0,0.0,0.0,188353.14,0.0
188.1264,6.06,inf,1.0,0.0,0.0,0.0,0.0,306946.84,0.0
190.1463,5.59,0.799,0.1,0.0,0.0,0.0,0.0,212757.62,0.0
190.1463,4.73,2.327,0.1,0.0,0.0,0.0,0.0,122967.99,0.0
191.13,3.94,inf,0.6,0.0,0.0,0.0,0.0,145970.03,0.0
192.1418,7.22,4.68,1.0,0.0,0.0,0.0,0.0,612804.75,0.0
192.1418,7.35,1.091,1.0,0.0,0.0,0.0,0.0,664821.56,0.0
192.1495,4.11,inf,0.6,0.0,0.0,0.0,0.0,104857.77,0.0
193.1358,6.62,1.967,0.6,0.0,0.0,0.0,0.0,970484.6,0.0
193.1358,6.51,6.276,0.6,0.0,0.0,0.0,0.0,868346.2,0.0
193.14352,4.352,inf,0.70000005,0.0,112411.14,252095.52,138322.52,0.0,111318.5
193.1436,4.29,1.198,0.6,0.0,0.0,0.0,0.0,581493.8,0.0
195.0924,7.81,1.949,0.1,0.0,0.0,0.0,0.0,128934.55,0.0
195.1002,5.24,inf,1.0,0.0,0.0,0.0,0.0,5606095.5,0.0
195.10027,5.03,11.061,1.0,0.0,0.0,0.0,1456679.8,5362529.5,0.0
195.1003,5.16,2.501,0.6,0.0,0.0,0.0,1626853.6,0.0,0.0
196.1017,5.03,3.023,0.1,0.0,0.0,0.0,0.0,329700.34,0.0
196.2038,4.64,inf,1.0,0.0,0.0,127562.0,0.0,361221.4,0.0
196.9507,0.75,1.547,1.0,0.0,0.0,0.0,0.0,122415.836,0.0
196.99783,21.08,1.393,0.55,2431543.2,2111476.5,0.0,0.0,0.0,0.0
196.99783,21.205,1.7195001,0.55,2103172.8,1977433.2,0.0,0.0,0.0,0.0
196.99783,21.335,1.704,0.8,2431543.2,2052514.4,0.0,0.0,0.0,0.0
196.9978,22.32,0.992,1.0,164408.64,0.0,0.0,0.0,0.0,0.0
196.9979,0.75,1.547,1.0,0.0,0.0,0.0,0.0,122415.836,0.0
196.9979,21.46,1.536,1.0,0.0,2111476.5,0.0,0.0,0.0,0.0
196.9979,22.12,0.953,0.1,0.0,481282.16,0.0,0.0,0.0,0.0
197.1162,4.84,0.935,1.0,0.0,0.0,0.0,0.0,116713.2,0.0
197.1162,4.97,0.904,0.1,0.0,0.0,0.0,0.0,119107.91,0.0
198.0012,5.21,5.465,1.0,0.0,0.0,0.0,0.0,499250.25,0.0
198.09612,3.937,inf,0.7,131098.8,137190.89,0.0,0.0,0.0,142897.61
198.128,4.81,1.279,1.0,0.0,0.0,0.0,0.0,936635.8,0.0
198.12804,4.68,inf,0.26666668,0.0,0.0,210674.56,179156.58,924743.9,0.0
198.1518,6.83,1.807,0.6,0.0,0.0,0.0,0.0,2447983.8,0.0
198.1518,6.56,0.385,1.0,0.0,0.0,0.0,0.0,1687304.9,0.0
198.1518,6.36,2.144,0.6,0.0,0.0,0.0,0.0,1500793.9,0.0
198.1518,6.71,inf,0.35000002,0.0,0.0,0.0,138893.69,2300085.8,0.0
198.1518,6.45,2.551,0.1,0.0,0.0,0.0,219270.22,0.0,0.0
198.1754,7.29,1.327,0.1,553109.44,0.0,0.0,0.0,0.0,0.0
198.17542,7.175,5.6615,0.775,540367.7,548079.6,0.0,0.0,337061.22,542601.0
198.1835,8.67,inf,0.1,0.0,0.0,0.0,0.0,189542.3,0.0
198.1835,3.69,inf,0.1,0.0,0.0,0.0,0.0,150055.61,0.0
