,mz,assymetric,integration,sn,hw,ab,label
27,338.3427584679082,"[-0.354133312, 0.127266659]",6027764.695800781,2.032,31861.0,4.517,1
28,338.3427584679082,"[-0.481399971, 0.11619999299999999]",6167669.336588541,1.316,13875.0,6.887,1
29,569.0049100993099,"[-0.022133332, 0.088533328]",292457.52547200525,0.0,267614.0,0.494,1
30,670.4611652305531,"[-0.038733330999999996, 0.094066661]",261403.4733072917,2.039,117104.0,0.7,1
31,670.4611652305531,"[-0.15493332399999998, 0.022133332]",313846.349202474,0.0,38910.0,1.424,1
32,416.1872663523935,"[-0.05533333, 0.182599989]",568678.0927734374,2.773,85332.0,0.651,2
33,416.1872663523935,"[-0.044266664, 0.038733330999999996]",171264.17838541666,1.118,186999.0,0.736,2
34,416.1872663523935,"[-0.05533333, 0.088533328]",197644.39196777344,0.626,61719.0,0.856,2
35,293.1904285459132,"[-0.016599998999999997, 0.13833332499999998]",173299.98335774738,0.0,39792.0,1.004,1
36,298.3484133566015,"[-0.044266664, 0.16046665699999998]",364426.4446614583,1.978,64914.0,0.741,1
37,298.3484133566015,"[-0.16599999, 0.05533333]",382989.53845214844,1.654,38544.0,1.122,1
38,414.95719804438414,"[-0.033199997999999994, 0.07193332899999999]",198116.1505533854,0.0,160069.0,0.62,1
39,201.2423394809563,"[-0.05533333, 0.14939999099999998]",609143.268717448,0.0,136265.0,0.59,1
40,201.2423394809563,"[-0.199199988, 0.011066666]",613795.6809488933,0.0,27001.0,2.845,1
41,288.2945387360038,"[-0.07746666199999999, 0.07746666199999999]",396627.45414225257,2.23,140057.0,0.653,1
42,496.41476297402903,"[-0.027666665, 0.11066666]",157569.0734049479,1.236,48920.0,0.931,1
43,368.4178503056816,"[-0.022133332, 0.07746666199999999]",136605.8030598958,0.961,86660.0,0.879,2
44,267.1750824564891,"[-0.038733330999999996, 0.15493332399999998]",283704.5909830729,1.982,59523.0,0.703,1
45,267.1750824564891,"[-0.16046665699999998, 0.044266664]",294487.46289062494,0.0,33970.0,1.144,1
46,624.6348243185497,"[-0.082999995, 0.22686665299999997]",7126087.66031901,2.098,590682.0,0.695,1
47,624.6348243185497,"[-0.210266654, 0.13279999199999998]",7639860.539876301,1.755,403264.0,0.891,1
48,624.6348243185497,"[-0.005533333, 0.182599989]",1804925.2916666665,0.864,419094.0,0.673,1
49,624.6348243185497,"[-0.016599998999999997, 0.105133327]",469087.73494466144,0.729,250220.0,0.7,1
50,280.2671418214555,"[-0.038733330999999996, 0.376266644]",683323.6604817708,1.553,19394.0,1.132,1
51,280.2671418214555,"[-0.16599999, 0.22133332]",653895.5104166665,2.1,33214.0,0.726,1
52,280.2671418214555,"[-0.293266649, 0.12173332599999999]",683323.6604817708,1.834,22916.0,0.958,1
53,354.2413787276461,"[-0.016599998999999997, 0.11066666]",160427.23437499997,0.718,48472.0,1.131,3
54,297.9906171371165,"[-0.027666665, 0.082999995]",248965.91963704425,2.021,155652.0,0.723,1
55,297.9906171371165,"[-0.14386665799999998, 0.005533333]",297800.8069661459,0.0,40576.0,1.819,1
