,peak width in min,half intensity width in min,left width,right width,assymetric factor,integration,sn,hw,ab,peak height,ma,mb,broad rate,skewness,variance,label
6916,0.287733316,0.28705973760887044,0.016599998999999997,0.271133317,16.333333333333336,714358.6511230469,1.156,28042.0,1.703,8068.498046875,313553.92205356713,14713.144341115338,328267.06639468245,0.04692380897280489,0.00026159831754055286,1
6917,0.265599984,0.21132793290031307,0.14386665799999998,0.121733326,0.8461538461538461,680301.4256591796,2.464,77806.0,0.6859999999999999,20665.296875,98693.33526349699,96898.76075932164,195592.09602281864,0.9818166596621332,0.0035576985227771937,1
6918,0.287733316,0.28695483638492986,0.26006665100000004,0.027666665,0.10638297872340426,714358.6511230469,1.3359999999999999,32409.0,1.473,9325.0634765625,18230.720744788192,149423.50061614224,167654.22136093045,8.196247570675972,0.003085305881741216,1
6933,0.254533318,0.08944391169269249,0.06639999599999999,0.188133322,2.833333333333333,3834953.91381836,9.872,770084.0,0.425,196012.125,2935644.291662747,1748264.604529581,4683908.896192328,0.5955301224656768,0.0061297347646104275,1
6934,0.33753331299999995,0.27553938092295177,0.237933319,0.099599994,0.4186046511627907,4036289.619466145,2.542,80650.0,2.431,27221.904296875,58959.425240286604,304587.44472880976,363546.8699690964,5.166051797273748,0.004818981409386665,1
6935,0.5367333009999999,0.5369001058636176,0.35966664499999995,0.17706665600000002,0.4923076923076923,4452771.3382161455,1.045,17459.0,4.899,9370.908203125,13111.16514504015,26097.511035372594,39208.67618041274,1.9904799265872322,0.01255902056430492,1
6936,0.121733326,0.12244329846356053,0.016599998999999997,0.105133327,6.333333333333334,247331.1248779297,1.501,105578.0,0.875,12852.4140625,499102.88247743313,58650.516355499065,557753.3988329322,0.11751187663828196,0.0005266294863307211,1
6937,0.22133332,0.07401490919583502,0.060866663,0.16046665699999998,2.636363636363636,6108678.16027832,9.975,1864795.0,0.37,412741.1875,8023022.10087967,4273337.137343545,12296359.238223216,0.5326343469594834,0.004508799187942342,1
6938,0.420533308,0.3367830451872329,0.226866653,0.193666655,0.853658536585366,7032513.8363444,0.0,98390.0,2.2359999999999998,41376.3984375,97565.91839026618,165850.90056483017,263416.8189550963,1.6998856086345884,0.008946554564630456,1
6940,0.26006665100000004,0.08109217753838709,0.05533333,0.20473332100000002,3.7,6302268.591145832,61.937,1604417.0,0.321,417255.3125,7770919.747356465,3846029.151591457,11616948.89894792,0.4949258616265868,0.006208341254613095,1
6941,0.282199983,0.2846437306122219,0.26006665100000004,0.022133332000000002,0.0851063829787234,6332673.262369791,0.0,33810.0,13.014000000000001,9541.271484375,18508.45476085356,177417.45517258323,195925.9099334368,9.585751888257649,0.002942554659169269,1
6946,0.11066666,0.07471485892391315,0.038733331,0.07193332899999999,1.857142857142857,447734.121907552,3.5439999999999996,348921.0,0.58,38613.9375,937827.0807686845,356691.35469604476,1294518.4354647293,0.3803380836515029,0.0009155446234316109,1
6947,0.199199988,0.20026312365923096,0.17153332300000002,0.027666665,0.16129032258064518,579136.1901041665,1.2,33373.0,2.42,6647.94189453125,19648.419148150748,106912.11056714901,126560.52971529975,5.441257627955848,0.0015117870763444652,1
6948,0.215799987,0.07485009641238614,0.06639999599999999,0.14939999099999998,2.25,1360141.9991861978,12.343,408241.0,0.396,88098.3125,1305484.7803819177,1071534.3325607304,2377019.112942648,0.820794197422397,0.003932332810301676,1
6949,0.315399981,0.3161727658670503,0.22133332,0.094066661,0.425,1466847.963378906,0.0,22630.0,3.6060000000000003,7137.4208984375,16313.528115639758,36634.08400392652,52947.61211956627,2.2456260683920037,0.004218731378416077,1
6950,0.127266659,0.1272884757976615,0.016599998999999997,0.11066666,6.666666666666668,154640.99772135413,1.043,49057.0,1.077,6243.26904296875,236955.0909847649,27355.277513831305,264310.3684985962,0.11544498748748185,0.0005050977908426905,1
6951,0.226866653,0.22712682517521726,0.011066666000000001,0.215799987,19.5,336605.061686198,0.0,26988.0,1.341,6122.67431640625,382988.6883270197,13970.189751061058,396958.8780780807,0.036476768575296505,0.00010692837901886084,1
6952,0.13279999199999998,0.06851212833561422,0.033199997999999994,0.099599994,3.0000000000000004,368237.7303466797,0.0,230635.0,0.501,30628.294921875,775008.6446363982,314122.4499686448,1089131.094605043,0.4053147692514037,0.00169152482977173,1
6958,0.15493332399999998,0.07520917208935601,0.044266664000000004,0.11066666,2.5,644537.5245361328,1.198,317830.0,0.467,49242.53125,962313.3993012002,496159.647238264,1458473.0465394643,0.5155905005568442,0.002152855146698563,1
6959,0.49799997,0.499607705555741,0.16046665699999998,0.33753331299999995,2.1034482758620694,1994615.2891845703,1.425,16631.0,2.676,8282.3349609375,26221.44697013899,12120.11802600368,38341.56499614267,0.4622215562629355,0.02007908152543056,1
6960,0.403933309,0.20058513591601934,0.309866648,0.094066661,0.3035714285714286,1890300.976236979,2.73,47696.0,1.344,19266.001953125,69757.92496519789,154144.57699109646,223902.50195629435,2.209707027094039,0.006585027975283554,1
6961,0.49799997,0.4993699010539269,0.431599974,0.06639999599999999,0.15384615384615385,1994615.2891845703,1.214,14171.0,3.14,7057.2724609375,8216.8511330575,50458.889320415685,58675.740453473176,6.140903431657994,0.009420364435474986,1
