,mz,a1,a2,integration,sn,hw,ab,label
85,256.268319,-0.177066656,0.12173332599999999,694376.2068,1.9709999999999999,44238,0.973,1
86,256.268319,-0.304333315,0.005533333,707271.9074,1.135,21645,1.883,1
87,310.22604060000003,-0.022133332,0.293266649,355438.9593,1.236,20605,0.96,1
88,727.6092401000001,-0.033199997999999994,0.082999995,224885.8306,3.077,145881,0.632,1
89,727.6092401000001,-0.082999995,0.282199983,16514855.61,0.0,1586964,0.43200000000000005,1
90,981.6140016,-0.016599998999999997,0.099599994,129101.2396,1.53,67357,0.785,1
91,339.10148050000004,-0.027666665,0.06639999599999999,107862.195,1.528,83815,0.805,1
92,475.29357350000004,-0.060866662999999994,0.182599989,927777.1927,2.75,130575,0.6629999999999999,1
93,475.29357350000004,-0.188133322,0.105133327,1017814.3509999999,2.6889999999999996,61187,1.07,1
94,475.29357350000004,-0.304333315,0.022133332,1054197.827,0.0,20444,2.677,1
95,302.30054739999997,-0.005533333,0.14386665799999998,197642.5936,0.826,69439,0.706,3
96,182.1356695,-0.027666665,0.099599994,136559.21,1.297,57706,0.8079999999999999,1
97,691.5428824,-0.044266664,0.07746666199999999,1260286.7340000002,1.5130000000000001,618997,0.76,3
98,593.601499,-0.005533333,0.23239998599999998,236487.2586,0.9179999999999999,23313,0.991,3
99,444.3151067,-0.033199997999999994,0.215799987,365476.4836,1.415,34510,0.945,1
100,771.6128786,-0.005533333,0.14386665799999998,189568.4048,0.0,40619,1.157,1
101,521.5320896000001,-0.027666665,0.171533323,769608.0647,0.0,155718,0.6890000000000001,1
102,322.29279449999996,-0.011066666,0.16046665699999998,226777.3467,1.42,45600,0.935,1
103,588.5420566,-0.011066666,0.23793331899999998,999989.474,1.042,121761,0.733,2
104,698.4928642000001,-0.022133332,0.099599994,149368.3765,0.0,74404,0.75,1
105,393.2938582,-0.022133332,0.32093331399999997,447697.7272,2.309,21733,0.968,1
106,393.2938582,-0.204733321,0.082999995,408730.1508,1.819,27853,0.981,1
107,393.2938582,-0.343066646,0.016599998999999997,456104.4258,0.0,9265,2.106,1
108,684.4297313999999,-0.049799997,0.14386665799999998,733352.071,2.533,153303,0.706,1
109,684.4297313999999,-0.188133322,0.13279999199999998,922570.3822,2.7769999999999997,41755,1.187,1
110,684.4297313999999,-0.32093331399999997,0.044266664,958516.6927,1.3969999999999998,14094,2.822,1
111,413.37537030000004,-0.038733330999999996,0.11619999299999999,248964.1304,1.9169999999999998,77737,0.738,3
112,413.37537030000004,-0.16046665699999998,0.016599998999999997,272787.5849,1.6030000000000002,35477,1.357,3
113,285.294929,-0.044266664,0.060866662999999994,260255.1631,2.1959999999999997,217540,0.599,1
114,285.294929,-0.171533323,0.06639999599999999,422660.3988,1.855,28645,1.442,1
115,353.27232189999995,-0.044266664,0.15493332399999998,850797.9954,6.915,272301,0.436,1
116,353.27232189999995,-0.199199988,0.188133322,1035390.3859999999,2.211,21271,1.795,1
117,353.27232189999995,-0.315399981,0.11066666,1055805.821,0.0,12407,2.594,1
118,392.2883336,-0.044266664,0.088533328,615569.6585,2.815,331006,0.583,1
119,392.2883336,-0.210266654,0.16599999,984666.4891,2.075,22869,1.683,1
120,392.2883336,-0.343066646,0.088533328,1020295.9659999999,1.659,13918,2.178,1
121,1020.755163,-0.016599998999999997,0.470333305,621350.31,0.975,9449,1.535,2
122,1020.755163,-0.171533323,0.304333315,611803.5242,2.037,20191,0.74,2
123,1020.755163,-0.304333315,0.182599989,621350.31,1.817,17605,0.8240000000000001,2
124,1020.755163,-0.005533333,0.293266649,194067.72199999998,1.149,13250,0.9079999999999999,2
125,1063.687756,-0.038733330999999996,0.060866662999999994,148179.3458,3.6719999999999997,151199,0.547,1
126,451.2557778,-0.044266664,0.07193332899999999,151180.4016,2.6039999999999996,92049,0.6729999999999999,3
127,351.22931370000003,-0.011066666,0.11619999299999999,124821.5711,1.484,35901,1.188,2
128,351.22931370000003,-0.044266664,0.094066661,211739.3058,3.0469999999999997,98609,0.621,2
129,351.22931370000003,-0.16599999,0.127266659,319576.2042,1.13,15266,1.347,2
130,239.1299228,-0.011066666,0.13833332499999998,131449.5154,1.162,27143,1.2009999999999998,3
131,373.17150519999996,-0.022133332,0.06639999599999999,217918.1034,2.024,196830,0.782,3
132,587.4487679,-0.038733330999999996,0.07746666199999999,128859.4589,2.968,89467,0.59,2
133,548.3700953,-0.049799997,0.082999995,745518.4257,3.36,425431,0.55,1
134,548.3700953,-0.177066656,0.16046665699999998,1108414.4640000002,2.622,37099,1.4509999999999998,1
135,548.3700953,-0.337533313,0.049799997,1145680.649,1.3159999999999998,13484,3.134,1
136,412.3844788,-0.049799997,0.088533328,187545.4596,3.177,85573,0.634,1
137,412.3844788,-0.16599999,0.005533333,209795.3182,0.0,18582,2.123,1
138,412.3844788,-0.060866662999999994,0.07746666199999999,319273.3478,3.949,162931,0.5670000000000001,1
139,412.3844788,-0.182599989,0.022133332,379174.5127,1.21,22137,2.261,1
140,1200.789745,-0.044266664,0.13279999199999998,547589.5872,4.721,186055,0.519,1
141,1200.789745,-0.16046665699999998,0.07193332899999999,607312.6394,2.77,36566,1.702,1
142,603.525624,-0.005533333,0.27666664999999996,292102.308,0.0,16057,1.264,1
143,450.3361728,-0.060866662999999994,0.11066666,1101852.305,4.11,430228,0.48200000000000004,1
144,450.3361728,-0.204733321,0.177066656,1649213.6840000001,2.92,47035,1.331,1
145,450.3361728,-0.337533313,0.12173332599999999,1725575.061,2.338,23113,1.959,1
146,450.3361728,-0.459266639,0.082999995,1786274.9109999998,1.242,8699,3.864,1
147,561.4428254,-0.033199997999999994,0.337533313,368717.715,1.84,16692,0.889,2
148,561.4428254,-0.15493332399999998,0.07746666199999999,241816.833,1.547,43060,0.575,2
149,561.4428254,-0.271133317,0.099599994,368717.715,1.923,17443,0.851,2
