,mz,peak width in min,half intensity width in min,left width,right width,assymetric factor,integration,sn,hw,ab,peak height,ma,mb,broad rate,skewness,variance,label
2581,484.3525386176185,0.35966664499999995,0.3594732583010736,0.271133317,0.08853332800000001,0.32653061224489793,643055.8346354165,0.0,24662.0,1.115,8870.080078125,16648.89447705104,47644.13485576068,64293.029332811726,2.8616996114326825,0.005269837348981261,1
2582,976.6408710697324,0.13279999199999998,0.13290237249568485,0.027666665,0.105133327,3.8,157354.06095377606,0.0,69947.0,0.706,9288.927734375,203204.780097555,42204.63576508882,245409.4158626438,0.20769509331831235,0.0015885051084833994,3
2583,543.2723345916133,0.26006665100000004,0.26028335996553725,0.033199997999999994,0.226866653,6.833333333333334,378091.66796875,1.56,36628.0,0.845,9525.728515625,165350.27595187188,20575.823942061208,185926.09989393316,0.12443779620936445,0.001978933297771109,1
2584,216.25735437757942,0.17153332300000002,0.1330845302084973,0.049799997,0.121733326,2.4444444444444438,550811.9212239583,3.523,159952.0,0.648,27437.03125,446839.6336958561,133991.69958231883,580831.333278175,0.2998652972523048,0.002607352291114971,1
2585,216.25735437757942,0.193666655,0.19310769139056028,0.17153332300000002,0.022133332000000002,0.12903225806451613,582902.3346354165,0.0,50208.0,1.713,9723.587890625,29174.94656508828,183707.10778263464,212882.05434772288,6.296741876554616,0.0014105243585720894,1
2586,384.2977547153585,0.448199973,0.3413134666941118,0.116199993,0.33199998,2.8571428571428568,1863224.2897135413,3.5380000000000003,59647.0,0.86,26733.69140625,224601.68864177898,47433.818491297556,272035.5071330765,0.2111908364453597,0.019053963558000063,1
2587,384.2977547153585,0.365199978,0.2788780676366521,0.237933319,0.127266659,0.5348837209302326,1667779.3177897134,1.9709999999999999,99765.0,0.6940000000000001,36434.328125,118265.28337213962,145922.2011054637,264187.4844776033,1.2338549145170306,0.005916890712740246,1
2588,384.2977547153585,0.448199973,0.4035272062766904,0.365199978,0.082999995,0.2272727272727273,1863224.2897135413,2.414,40689.0,1.261,18236.673828125,27798.439193479433,120754.98594852553,148553.42514200494,4.343948417681325,0.00786019567696976,1
2589,244.2877213306726,0.215799987,0.1988356928988836,0.049799997,0.16599999,3.333333333333333,7504553.248697916,0.099,162978.0,5.471,35170.55078125,540079.5111124647,105760.08548876137,645839.5966012261,0.1958231766113752,0.00446354323219171,2
2590,244.2877213306726,0.237933319,0.05900362682209386,0.0055333330000000005,0.232399986,42.0,3356228.6175130215,0.807,1133469.0,0.289,269689.96875,48739153.91500928,2397800.0162648074,51136953.93127409,0.049196586802595324,2.1192015070156484e-05,2
2591,244.2877213306726,0.26006665100000004,0.26489628289255857,0.20473332100000002,0.05533333,0.2702702702702703,3381867.9005533857,0.028999999999999998,37284.0,7.421,9696.3291015625,23691.89929437277,80450.8591002466,104142.75839461938,3.3957116776768936,0.0026929623038040736,2
2592,283.17462648482064,0.215799987,0.21570071154188736,0.027666665,0.188133322,6.8,313111.7163085937,0.0,39334.0,0.946,8488.359375,181824.6860622718,22063.898405586217,203888.58446785802,0.12134710023934656,0.0013799489616135956,1
2593,283.17462648482064,0.210266654,0.1878131169445449,0.14386665799999998,0.06639999599999999,0.4615384615384615,305177.9413248697,0.0,53804.0,0.71,11313.1611328125,42704.865404254735,102186.24467749953,144891.11008175425,2.3928478338517043,0.0019032634124261207,1
2594,434.004638698058,0.116199993,0.04805054147027942,0.033199997999999994,0.082999995,2.5,309788.8527018229,5.3020000000000005,259687.0,0.489,30175.5859375,751342.8367237302,539438.5389425404,1290781.3756662707,0.7179659039471122,0.0012109810200179414,3
2595,727.6097801151428,0.33199998,0.16288458375304754,0.06639999599999999,0.265599984,4.0,12287030.856648762,0.0,1303106.0,0.473,432631.3125,6243377.2414885275,1686837.9667312326,7930215.208219761,0.2701803689711149,0.009482448960770851,1
2596,454.3620310613871,0.304333315,0.12384715326614333,0.05533333,0.248999985,4.5,2300081.8693033853,0.0,303033.0,0.45299999999999996,92223.1171875,1702022.4614980973,476580.9317543701,2178603.3932524673,0.2800086030209554,0.006837351736223921,1
2597,615.5820432772066,0.730399956,0.7304018787752041,0.011066666000000001,0.7193332899999999,65.0,1174490.0482584634,1.07,7534.0,1.617,5502.94580078125,334646.05201951694,3809.9552894679705,338456.0073089849,0.011385029844146409,7.896273702105518e-05,1
2598,615.5820432772066,0.7082666240000001,0.6793654524321731,0.210266654,0.49799997,2.3684210526315788,1152821.8927815757,2.064,15584.0,0.816,11037.630859375,29786.026401646635,11169.804887713892,40955.83128936053,0.37500151034232615,0.043669923303886325,1
2599,615.5820432772066,0.7248666229999999,0.6905959887014953,0.33199998,0.392866643,1.1833333333333331,1169292.5123697915,2.063,14640.0,0.841,10612.015625,17189.362846510507,13893.118282260595,31082.481128771098,0.8082392818347506,0.030414097759140942,1
2600,615.5820432772066,0.691666625,0.660137224185996,0.459266639,0.232399986,0.5060240963855421,1135337.787109375,1.943,16589.0,0.792,11474.0244140625,13262.453055362956,25210.795548886967,38473.248604249915,1.9009149697757044,0.020973816257965024,1
2601,615.5820432772066,0.730399956,0.7304028402915285,0.5754666319999999,0.15493332399999998,0.2692307692307692,1174490.0482584634,1.605,11302.0,1.078,8254.787109375,7225.835363519347,25925.295133251802,33151.130496771155,3.5878613100070513,0.021232402773222785,1
2602,322.0739532743756,0.099599994,0.09983261705862542,0.038733331,0.060866663,1.5714285714285714,107436.5323486328,1.347,73295.0,0.818,7300.171875,103318.7420155368,56586.7807466459,159905.5227621827,0.5476913446946202,0.00066871893485873,3
2603,621.5945539536586,0.193666655,0.1934159193503205,0.011066666000000001,0.182599989,16.5,222510.19303385413,1.067,29485.0,1.113,5710.2265625,360022.8394568357,15392.645123086182,375415.4845799219,0.04275463508456567,0.00011566383138607791,3
2604,216.04985108493145,0.20473332100000002,0.15483567742723842,0.044266664000000004,0.16046665699999998,3.625,1083236.4108072915,2.949,214602.0,0.6659999999999999,43936.09375,917635.7420988148,167828.45211181373,1085464.1942106287,0.18289223535251228,0.0038950390788938657,1
2605,216.04985108493145,0.27666665,0.2543920136260815,0.20473332100000002,0.07193332899999999,0.3513513513513513,1222409.0294596353,0.0,58670.0,1.506,16232.13671875,40724.528181684764,147296.74700157225,188021.275183257,3.6169049361219296,0.003149951571153876,1
2606,614.4750143646513,0.16046665699999998,0.1605567250113551,0.022133332000000002,0.13833332499999998,6.249999999999999,192407.16341145828,1.082,37371.0,1.1059999999999999,5996.78125,156525.38419085642,21204.90768021092,177730.29187106734,0.13547264419651633,0.0009460224297131814,3
2607,548.3591989808034,0.105133327,0.0961700244217709,0.038733331,0.06639999599999999,1.7142857142857142,537022.9335937499,1.015,325959.0,0.825,34269.13671875,637162.017201105,247330.54055874137,884492.5577598462,0.3881752739204437,0.0007855892608502812,3
2608,371.1693213250898,0.271133317,0.2714038075585752,0.011066666000000001,0.26006665100000004,23.5,394315.8393554688,1.273,24832.0,1.195,6732.79150390625,436825.0185164607,12766.136645910394,449591.1551623711,0.029224829404841723,9.932293660074592e-05,1
2609,267.1752807524356,0.182599989,0.1833166742295405,0.011066666000000001,0.17153332300000002,15.5,259500.65966796875,1.3330000000000002,41233.0,1.044,7529.1279296875,477945.15305622853,21457.82903984014,499402.9820960687,0.04489600721469332,0.00011951836710971596,1
2610,1222.966205495022,0.243466652,0.18315407382441287,0.049799997,0.193666655,3.888888888888889,581797.5230305989,3.9219999999999997,84582.0,0.642,20592.869140625,304380.4604149492,68952.46663971287,373332.9270546621,0.2265338141144568,0.005237939084190496,1
2611,1222.966205495022,0.26006665100000004,0.2611642510760713,0.210266654,0.049799997,0.2368421052631579,597106.5651041665,0.0,32027.0,1.525,8329.171875,20129.12649583154,76737.24390174798,96866.37039757954,3.8122490768607964,0.002656698724343373,1
2612,175.9840340690074,0.17153332300000002,0.1715252955180787,0.011066666000000001,0.16046665699999998,14.5,199073.64013671872,1.073,34037.0,1.1,5838.52001953125,362106.5061872382,17858.797581375453,379965.30376861367,0.049319184483642,0.00012404273458269322,3
2613,325.2327215986278,0.20473332100000002,0.2049672310703257,0.0055333330000000005,0.199199988,36.0,331339.1258138021,1.25,32826.0,1.3319999999999999,6720.6142578125,1214568.9149401456,16618.683217066537,1231187.5981572121,0.013682783259676552,2.191392717880126e-05,3
2614,361.2242271635835,0.17706665600000002,0.153310388233864,0.044266664000000004,0.13279999199999998,3.0,333869.25370279944,2.439,84203.0,0.7,14909.5322265625,222228.7188590924,62244.98813852197,284473.7069976144,0.2800942581052693,0.003007155252927521,1
2615,361.2242271635835,0.210266654,0.21027082638129252,0.17153332300000002,0.038733331,0.2258064516129032,370954.2614339193,0.0,33993.0,1.3659999999999999,7147.640625,21307.93745494444,83994.35936739009,105302.29682233454,3.9419281920174534,0.0017289111826913801,1
2616,361.2242271635835,0.199199988,0.1804069950183765,0.05533333,0.14386665799999998,2.6,457565.66735839844,1.9369999999999998,89183.0,0.715,17765.1953125,216734.16519138703,63709.628802479696,280443.7939938667,0.2939528650050209,0.003628892695068164,1
2617,361.2242271635835,0.293266649,0.2777702776595406,0.17706665600000002,0.116199993,0.65625,577959.5322265624,2.01,35762.0,1.04,10487.7353515625,30450.12143976305,49677.331805505135,80127.45324526819,1.631432961729814,0.004010974081745211,1
2618,753.0745298915438,0.13279999199999998,0.13250133511340448,0.0055333330000000005,0.127266659,23.000000000000004,142370.17704264325,0.0,40798.0,1.095,5417.90966796875,979140.3604244948,20880.731904104767,1000021.0923285995,0.021325575727521,2.502580916751107e-05,3
2619,370.3832915702996,0.17153332300000002,0.1545686214139324,0.044266664000000004,0.127266659,2.8750000000000004,512362.96256510424,2.2030000000000003,136946.0,0.7040000000000001,23490.734375,419858.74011846294,92779.77076826824,512638.51088673115,0.2209785385010455,0.0027957817576608765,1
