,m/z,rt,peak area
165,244.2875,5.51,2351669.8492838545
166,244.2875,5.69,2353807.3264160156
167,245.2961,5.32,695595.5326741536
168,247.1674,6.3,266847.10791015625
169,249.1825,11.21,180229.78092447916
170,251.1839,5.1,959832.4970703124
171,255.2351,12.54,437742.7613932291
172,255.2351,14.39,143886.05314127606
173,256.2683,5.45,787518.7502441406
174,256.2683,15.14,680282.8271484375
175,256.2683,15.26,786790.4360351562
176,256.2991,5.74,7587445.819010416
177,256.2991,6.01,7898899.791137694
178,256.2991,6.14,7941167.196614582
179,256.9663,0.66,1316364.4685465493
180,256.9663,21.07,1498977.1764322915
181,256.9663,21.25,1507059.0900065103
182,257.2337,7.07,2041293.6487630205
183,257.2337,7.29,2083336.160644531
184,257.3057,5.74,947576.2714843748
185,257.3057,5.87,1273717.3009033203
186,258.0891,4.08,253709.0050048828
187,258.1511,9.75,483722.01074218744
188,258.1511,9.88,594801.1754150391
189,258.275,4.64,683261.2994791665
190,258.275,4.81,1235078.0375976562
191,259.279,4.62,1732572.033203125
192,259.279,5.03,431016.49641927076
193,261.2466,13.44,4018835.2308756514
194,261.2466,13.7,3825107.6526692705
195,261.2466,13.88,4010447.0981445312
196,261.2466,14.04,4018835.2308756514
197,262.2097,4.53,844210.3699137369
198,262.2097,4.71,919522.2444661459
199,267.1751,11.93,304668.6538492838
200,267.2713,16.43,643775.5211588541
201,267.2713,16.55,694027.0956624348
202,267.2713,16.67,745457.8046061198
203,271.2237,12.2,1769579.628580729
204,271.2237,12.36,2039826.4593098958
205,271.2237,12.49,2115884.269205729
206,271.2237,12.62,2345735.603190104
207,271.2237,12.97,161271.1555989583
208,272.2345,12.22,136276.9787190755
209,272.2563,4.67,1972380.5810139973
210,273.1726,5.1,573061.2198486328
211,273.26,4.75,290393.33382161456
212,274.1029,5.83,7628042.539225261
213,274.2784,4.8,461203.3740234375
214,274.2784,9.94,624314.7506510416
215,274.2784,10.06,775847.9506835938
216,275.1025,5.83,906370.8854166666
217,275.1025,5.95,1155517.171590169
218,275.1575,4.54,161460.7490234375
219,276.2493,5.43,4323695.5019938145
220,276.2603,5.81,244132.8575032552
221,276.2603,5.95,331870.18180338544
222,277.1901,10.99,257118.1038411458
223,277.2455,5.6,605403.2590332031
224,277.2455,5.74,614250.2884114584
225,278.2454,5.6,1053091.4837239583
226,278.2454,5.71,1320106.3861083984
227,278.2676,13.47,3476169.7581380205
228,278.2676,13.69,3011020.3112792964
