,m/z,rt,peak area
503,359.2071,7.02,8817612.407877604
504,359.2071,7.15,8701468.533732096
505,359.2071,7.31,8817612.407877604
506,359.322,16.34,5617777.938639322
507,359.322,16.48,4672958.607747395
508,359.322,16.6,5036441.083984374
509,359.322,16.74,5617777.938639322
510,360.1854,11.61,707856.0014648439
511,360.1854,11.73,665408.6487630209
512,360.1854,11.85,724303.337483724
513,360.3151,16.48,965214.4518229166
514,360.3151,16.6,1086627.2162272134
515,360.3295,17.16,548721.2464192708
516,360.3295,17.27,594012.4028320312
517,360.3583,14.18,182225.2796630859
518,361.2242,5.96,333869.25370279944
519,361.2242,6.08,370954.26143391925
520,361.2242,6.65,500763.5657552083
521,361.2242,6.77,577959.5322265624
522,362.324,11.72,608268.7132161459
523,362.324,11.86,713120.4091389973
524,363.2527,15.84,674865.451171875
525,363.2527,15.97,622624.8159179688
526,363.2527,16.1,674865.451171875
527,364.3441,15.58,168111.3329264323
528,365.1319,11.6,267127.5098876953
529,365.2342,4.98,190417.39746093747
530,366.3168,13.91,275303.56013997394
531,366.3461,15.78,770087.6643880208
532,366.3461,15.91,829734.9316406249
533,367.2705,7.18,428651.7591145834
534,367.2705,7.31,413978.64013671875
535,367.2705,7.43,428651.7591145834
536,368.2708,7.46,401789.4661458333
537,368.3592,16.4,201309.5459391276
538,368.4181,16.6,237928.37381998697
539,369.2443,8.76,290423.8388671875
540,370.3833,17.04,522697.7096354166
541,370.3833,17.17,605503.6680094401
542,371.1693,13.13,394315.83935546875
543,371.199,11.98,909633.7659505209
544,371.199,12.09,1086478.6520996094
545,371.199,12.23,1180117.2162679036
546,371.3178,16.79,1758062.4975585938
547,371.3178,16.93,1975388.4028320312
548,371.3178,17.07,2028144.512125651
549,372.3143,16.77,408752.3044840495
550,372.3143,16.89,431812.1661376953
551,373.179,9.69,1122464.6979166665
552,373.179,9.81,1443874.2893473306
553,373.179,9.92,1530020.9638264973
554,373.3134,15.53,176766.8302815755
555,374.1805,9.66,198832.36686197916
556,375.1696,4.87,2121130.8194986978
557,375.3047,15.55,142644.2744140625
558,376.1764,4.87,458694.32499186194
559,376.3419,16.48,5479745.25
560,376.3419,16.6,5757354.834187826
561,376.3419,16.72,6686189.643229166
562,377.216,5.72,597982.1030273438
563,377.3367,14.6,297340.58825683594
564,377.3518,16.48,1125085.4609375
565,377.3518,16.6,1251601.528157552
566,378.3493,16.48,135562.0
567,379.2585,15.53,225794.81331380206
568,380.3371,13.85,278593.06347656244
569,380.3371,14.64,238421.5001220703
570,381.2967,16.3,14739521.040690104
571,381.2967,16.48,11839034.064453123
572,381.2967,16.6,13579460.348958332
573,381.2967,16.76,14739521.040690104
574,382.2741,6.78,187895.33060709632
575,382.3046,16.48,2572067.127319336
576,382.3046,16.6,3045121.1865641274
577,382.3046,16.74,3172097.100423177
578,383.2539,10.26,318639.30432128906
579,383.2692,11.27,629628.8416748047
580,383.2692,11.39,585727.3011067708
581,383.2692,11.51,640008.9160970051
582,383.2999,16.48,361719.0159505208
583,383.2999,16.6,413053.38232421875
584,384.2978,7.2,1863224.2897135415
585,384.2978,7.32,1687340.6875
586,384.2978,7.44,1863224.2897135415
587,385.0671,8.73,114394.5955403646
588,385.1749,13.8,205179.23876953125
589,385.2982,7.18,296656.7069091797
590,387.0591,8.73,111990.84244791666
591,388.2531,4.17,1974995.3697916665
592,388.3463,16.76,335447.6834309895
593,388.3929,15.26,111235.46582031249
594,389.2483,7.25,329424.3407796224
595,389.2483,7.38,359247.7669270833
596,391.2307,6.71,7269618.176595052
597,391.2307,7.02,7294177.1402994795
598,391.3559,14.33,1019517.5060221355
599,391.3559,14.46,935582.8507486979
600,391.3559,14.61,941297.9600423176
601,391.3559,14.73,1019517.5060221355
602,391.3559,14.95,233660.6584065755
603,392.2335,6.71,1148182.981770833
604,392.2335,6.87,1232191.453531901
605,393.2389,6.68,101013.2599283854
606,393.3018,16.76,794155.1315104166
607,395.3048,16.7,5072815.86328125
608,395.3048,16.86,5823071.939900717
609,396.318,16.68,1207871.2827962239
610,396.318,16.83,1415108.9366861978
611,396.3973,17.17,1288005.9375813804
612,396.3973,17.41,1313937.2840576172
613,397.2703,15.53,432550.37386067706
614,397.2703,15.67,437467.8183186849
615,397.318,16.69,158642.63850911456
616,397.3975,17.15,309967.4033203125
617,398.3364,13.98,1192359.0533854165
618,398.3364,14.1,1001446.5257161456
619,398.3364,14.23,1105727.6016845703
620,398.3364,14.36,1192359.0533854165
621,399.2616,12.78,205170.5305989583
622,399.3415,14.05,160836.06319173175
623,399.3734,15.14,330827.63663736975
624,401.2147,11.18,281915.7706705729
625,401.2147,11.66,5240173.9169921875
626,401.2147,12.02,5326827.939127604
627,402.211,11.65,951122.3301188151
628,402.211,11.78,1145828.2030029297
629,402.211,11.93,1167292.4252522788
630,402.3397,16.48,473015.30700683594
631,402.3397,16.6,533738.3081054688
632,403.2419,6.16,131199.8516845703
633,408.3711,15.56,511420.11625162757
634,408.3711,15.68,489976.82596842444
635,408.3711,15.81,511420.11625162757
636,409.336,17.23,144936.64811197916
637,410.3524,13.95,214742.41442871094
638,411.3055,12.97,149371.3681640625
639,411.322,14.06,115601.47216796874
640,412.2938,8.06,386372.29020182294
641,413.2184,6.7,343614.1707356771
642,413.2184,6.82,409320.1573893229
643,413.268,16.7,610834.3173828125
644,413.268,16.82,686975.7976888022
645,414.3273,11.87,172581.00390624997
646,414.3273,14.1,158877.4348958333
647,414.9575,21.07,185901.85310872394
648,415.2066,10.07,1776579.3743489583
649,415.2066,10.19,2104430.9697672524
650,415.2066,10.33,2192944.9892578125
651,415.273,11.54,536911.4607747396
652,415.273,11.72,512299.6565755208
653,416.1876,10.4,298763.9123535156
654,416.2209,10.08,477370.6200764973
