,m/z,rt,peak area
81,215.0066,21.81,119459.06331380208
82,215.2561,4.72,7879529.348836263
83,216.0497,5.82,1178264.3221435547
84,216.0497,5.96,1238822.8994140627
85,216.2572,4.71,437243.2762044271
86,216.2572,4.83,513349.3186848958
87,217.0458,21.11,309372.2431640625
88,217.0458,21.23,342065.5788574219
89,217.0545,5.81,205968.5992838542
90,217.1066,4.54,3310261.0407714844
91,217.1066,4.73,3311881.7036132812
92,219.1482,7.49,518494.6448567709
93,219.1482,15.53,129648.27990722656
94,219.1482,16.02,226089.4384358724
95,219.1482,16.82,228401.41845703125
96,221.1205,8.11,143361.01367187497
97,221.1294,6.89,615865.7880045573
98,221.1471,7.07,166102.0276692708
99,221.1559,10.11,234452.5927734375
100,223.1285,6.9,397088.41389973956
101,223.1285,7.01,447660.7652994791
102,224.1841,5.58,141580.4671223958
103,225.1457,8.11,133504.95650227863
104,226.1204,8.19,1717045.9042968748
105,226.1204,8.35,2057220.6877441406
106,226.1204,8.46,2162760.491536458
107,226.1928,4.59,105203.037109375
108,227.1266,8.18,279779.9881184895
109,228.046,8.31,469548.4178059895
110,228.046,8.43,526878.9014485676
111,228.192,8.08,399495.0533854166
112,228.265,5.09,1985552.0490722656
113,229.1891,7.82,29885905.614908855
114,229.2716,4.95,4124164.1772867837
115,230.0616,6.04,1293074.6953125
116,230.0616,6.2,1459063.623494466
117,230.1905,7.82,2719236.129557292
118,230.1905,7.94,3313019.4397786455
119,230.1905,8.13,3369330.340128581
120,230.2457,4.67,429520.83585611975
121,230.2734,4.92,277001.23160807294
122,231.0669,6.05,126676.70133463542
123,234.1371,4.53,1874406.0526529946
124,234.1933,4.63,257288.75256347656
125,235.1413,4.53,170950.76464843747
126,235.1695,10.91,136674.46077473956
127,236.1121,4.56,267638.84912109375
128,238.18,10.13,117935.68636067706
129,239.0867,4.54,308578.3802083333
130,239.125,7.11,201039.455078125
131,239.1537,3.42,107292.6240234375
132,239.2398,15.51,777891.3013916016
133,239.2398,15.63,874559.9625651041
134,239.2398,15.74,970453.8536783854
135,240.0162,0.62,327109.3512369791
136,240.2659,5.11,334438.67850748694
137,240.9878,0.61,195868.69775390625
138,240.9878,0.73,256260.79280598956
139,242.2829,5.23,64925729.650878906
140,242.2829,5.42,377600405.2552083
141,242.4186,5.23,58609723.17089844
142,243.2929,5.24,35835631.651041664
143,243.2929,5.38,56499704.08333333
144,243.4194,5.34,5298327.463541667
145,244.2289,5.2,281215.96484374994
146,244.2875,5.23,1121746.7685546875
147,244.2875,5.48,3471028.2288411455
148,244.2875,5.68,3536486.850056966
149,245.2961,5.32,650640.2403971353
150,245.2961,5.45,669253.4267578125
151,247.1674,6.32,272889.3169352213
152,247.1674,6.44,277147.92333984375
153,248.0092,0.68,121128.13541666666
154,249.1825,11.23,158465.87581380206
155,251.1839,5.1,1035167.2284342449
156,255.0106,6.52,407414.2807210286
157,255.0106,6.64,453947.95703125
158,255.2351,12.56,536172.3391113281
159,255.2351,12.71,541642.74609375
160,256.2683,5.45,261331.87471516925
161,256.2683,5.57,369484.4075520833
162,256.2683,15.14,606689.0133463542
163,256.2683,15.26,694376.2067871094
164,256.2683,15.39,707271.907430013
165,256.2991,5.74,6955789.3828125
166,256.2991,6.01,7185452.396647135
167,256.2991,6.12,7269661.995686848
